,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
Quanto custou The Lego Movie?,938,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938
Onde começa a Piccadilly?,225,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
O Príncipe Harry e o Príncipe William têm os mesmos pais?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem interpretou o Agente Smith em Matrix?,2502,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502
Quantos idiomas são falados no Turquemenistão?,29108,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108,29108
Em que filmes Julia Roberts e Richard Gere atuaram?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país nasce o Ganges?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que ano nasceu Rachel Stevens?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barack Obama é um Democrata?,6413,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413
Onde nasceu Bach?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas vezes Jane Fonda se casou?,1251,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251
Quem foi o primeiro a escalar o Monte Everest?,121,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
Quantas pessoas vivem na Polônia,19746,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746,19746
Onde fica o Palácio de Westminster?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Batman Begins?,493,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493,493
Em que país fica o Lago Limerick?,28368,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368,28368
Qual foi o último filme de Alec Guinness?,21170,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170,21170
Qual a montanha mais alta da Austrália?,13886,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886,13886
Frank Herbert ainda vive?,95,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Quem criou Family Guy?,10339,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339,10339
Qual a língua oficial do Suriname?,23216,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216,23216
Quem escreveu a canção Hotel California?,10061,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061,10061
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.,39614,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614,39614
Quais são os ingredientes do biscoito de chocolate?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os skatistas profissionais da Suécia.,472,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472
Que ingredientes eu preciso para um bolo de cenoura?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O Neymar joga no Real Madrid?,975,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975
Que cientista da computação ganhou um Oscar?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas empresas foram fundadas no mesmo ano que o Google?,35496,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496,35496
Em que cidade da Inglaterra está a sede do MI6?,40930,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930,40930
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?,10050,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050
Qual o significado de IYCM?,10734,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734,10734
Quando a Dinastia Ming acabou?,847,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,24374,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374
"Qual é a população total de Melbourne, Florida?",27358,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358,27358
Arnold Schwarzenegger frequentou uma universidade?,12396,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396,12396
Em que país está o Monte Everest?,28489,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489,28489
Qual é a maior cidade da Austrália?,32732,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732,32732
Ache todas as plataformas de lançamento espaciais operadas pela NASA.,29542,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542,29542
Quem é o prefeito de Tel Aviv?,20406,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406,20406
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,24374,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374,24374
Quem criou Batman?,15331,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331
Quem interpretou Gus Fring em Breaking Bad?,1020,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020
Em que linguagem de programação foi escrito o GIMP?,10558,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558,10558
Em que império antigo você poderia pagar com grãos de cacau?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o editor da Forbes?,22505,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505,22505
Quantos habitantes tem a capital da Austrália?,23014,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014,23014
Quais surfistas profissionais nasceram na Austrália?,7387,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387,7387
Que companhias de eletrônica foram fundadas em Beijing?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mostre todos os jogos da Mean Hamster Software.,25027,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027,25027
Quantas lojas Aldi existem?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a capital de Camarões?,20129,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129,20129
Há algum jogo eletrônico chamado Battle Chess?,35063,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063,35063
A esposa do Presidente Lincoln chamava-se Mary?,39185,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185,39185
Encontre todos os filmes dirigidos por Francis Ford Coppola.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028,31028
Qual filme de Tim Burton teve o maior orçamento?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348,24348
Breaking Bad tem mais episódios do que Game of Thrones?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem era chamado de Rodzilla?,9999,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
Natalie Portman nasceu nos Estados Unidos?,19217,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217,19217
Mostre os netos de Elvis Presley.,10769,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769,10769
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333,31333
Quando morreu o criador de Drácula?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que país vem o criador de Miffy?,28399,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399,28399
Qual é o nome verdadeiro do Batman?,26846,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846,26846
Que forma de governo a Rússia possui?,22168,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168,22168
Quantas companhias foram fundadas pelo fundador do Facebook?,33581,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581,33581
Liste todas as gravadoras canadenses de música Grunge.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos filhos Benjamim Franklin teve?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste os filhos de Margaret Thatcher.,20643,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643,20643
De que região é o Melon de Bourgogne?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual é o filho mais velho de Meryl Streep?,20804,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804
