,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
Quem é o treinador da equipe de hockey no gelo de Ankara?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o prefeito da capital da Polinésia Francessa?,15535407369,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3118473490,3171344516,3202793538,3154191549,3194464769,3235177860,3221750129,3207771428,3219010932,3209984913,3229056690,3172542344,3495219547,3224682157,3236236365,3238403577,3272826615,3180433561,3246349467,3271976253,3381760252,3330339912,3359494885,3283722493
Que prêmios Douglas Hofstadter ganhou?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quanto custou The Lego Movie?,822558050,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,854808582,814034762,864391790,866008727,895746733,876686281,879228212,869435366,840207047,849019712,849899085,867433524,924784815,854035610,852990550,847024532,870686493,854852076,891679264,848739124,836582305,896621821,863463741,915690120
Onde começa a Piccadilly?,1023331938,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1034817408,1030206624,1053428835,998284440,1018162669,1031677187,1057074914,1034600507,1038104547,1034363971,1052356052,1063102126,1054386628,1007138648,1023891318,1049316210,1130922521,1012252710,1032677969,1108581701,1078094463,1017345190,1039781392,1064543755
O Príncipe Harry e o Príncipe William têm os mesmos pais?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem interpretou o Agente Smith em Matrix?,2371011337,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2115409981,2109075749,2069372230,2086526410,2096985691,2150231446,2191341446,2041068602,2157002572,2186223956,2243484849,2185736861,2227133032,2189942168,2265204803,2234570660,2295731332,2293663392,2372607156,2242857922,2340202409,2326794136,2330689387,2330808874
Quantos idiomas são falados no Turquemenistão?,42646140731,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2792704442,2617398745,2588105175,2620596312,2621751792,2661786049,2685571288,2606450845,2722459215,2548122484,2687745905,2656311136,2664608434,2668001518,2681296103,2701603038,2693867874,2714404198,2707832373,2709559573,2705288015,2749137684,2834407339,2793977768
Em que filmes Julia Roberts e Richard Gere atuaram?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país nasce o Ganges?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que ano nasceu Rachel Stevens?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barack Obama é um Democrata?,9152373107,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,9251340579,8924856785,9226184417,8895364559,9370189807,9197453194,9212487635,9202501670,8838279352,8750298940,9380674499,9069260121,8694899379,9250814398,6321844738,8948533532,9034283297,8883306205,8866648847,8757554287,8634831594,9190790111,9013424880,9002175280
Onde nasceu Bach?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas vezes Jane Fonda se casou?,859790189,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,889105598,913640326,872400346,920670696,914826438,898555196,903363405,909590192,904969651,875036226,899656679,859114867,902431689,905114625,907310910,886695853,919103678,895374037,871279159,883084174,938064988,887200647,919665077,894986213
Quem foi o primeiro a escalar o Monte Everest?,817466291,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,772163997,811577957,786675592,815660592,766283353,782643913,818709140,821986397,801546685,792865208,837601778,787182326,824540703,805568515,806715436,811105641,829672252,814317067,815876539,821313615,876089789,828928922,824548468,813714609
Quantas pessoas vivem na Polônia,16439599099,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1629652245,1587204069,1662950948,1614071008,1613945337,1705520650,1658011102,1646507007,1578557351,1593479176,1700543923,1626182032,1650820518,1663374362,1650350380,1680526231,1647766661,1693244230,1721248480,1754265075,1798286823,1822839329,1826809587,1873568267
Onde fica o Palácio de Westminster?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Batman Begins?,1170915969,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,862669756,853812495,884003664,915977474,934155762,912280260,955046459,912104438,980427324,944742150,994838756,1002313694,1057748227,1082650799,1140877438,1197062437,1199451987,1212850812,1185787371,1255911656,1218285882,1224613791,1186407802,1209520871
Em que país fica o Lago Limerick?,1486777832,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1494027391,1526088343,1605964019,1438386429,1518888904,1467269702,1470256734,1515055115,1458011500,1547765606,1494197738,1471121343,1574000250,1441733139,1498329717,1481753193,1488605923,1477802017,1477379426,1504598885,1529336514,1468618405,1510466735,1577713273
Qual foi o último filme de Alec Guinness?,1256049641,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1273508419,1313595188,1284891304,1246612519,1252856254,1237458202,1257721968,1270274947,1225061289,1331564298,1233178063,1246234718,1279363634,1279905928,1260610387,1285858476,1280234923,1226886441,1296585999,1255211015,1272221283,1232424977,1294539180,1299164818
Qual a montanha mais alta da Austrália?,3724113889,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3770528258,3754210134,3879761201,3720638391,3678489974,3944496617,3760924720,3689467925,3791205142,3778793391,3739205392,3833680305,3822643635,4148005340,3706049681,3755923598,3689956737,3801409481,3746927036,3813552126,3747694506,3785415798,3716435604,3894571799
Frank Herbert ainda vive?,790490537,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,820855503,812905216,802596092,852012045,814647989,788733741,816228638,798458355,791368828,798436131,808661104,804119655,843191134,820421027,792833827,827508305,797029111,817443170,829965698,795408953,787338644,828080873,843344099,850924183
Quem criou Family Guy?,1129442029,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1160989764,1120348221,1079652768,1145797082,1149463285,1092867839,1118560312,1083072330,1094567684,1095930850,1067640374,1092380890,1112376313,1085920180,1107928762,1085781220,1110397996,1109558682,1113371855,1122375576,1112526598,1126329276,1151709984,1093270731
Qual a língua oficial do Suriname?,4465102208,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,4714926158,4348027670,4467703635,4354822584,4616490705,4390895496,4441706313,4586456549,4560377675,4278872666,4660412644,5222815532,4644663531,4582230282,4424087867,4651828535,4436577420,4543550554,4537112303,4460297796,4382027030,4515808816,4237516095,4474435657
Quem escreveu a canção Hotel California?,1048214180,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1077909543,1108938206,1079666315,1057592517,1075273984,1041663359,1087218164,1057412065,1064168350,1049194968,1041336186,1058360427,1131763067,1071260004,1057347740,1104825101,1044075050,1049296336,1103108597,1053602724,1082037520,1082886937,1061333475,1068458080
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.,52910809038,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1545830195,1643647170,1628374512,1589483726,1649118433,1613796328,1540189735,1575170753,1646735397,1716880580,1661361596,1630424855,1627558670,1721076248,1751709118,1671431010,1711713813,1713151750,1849709782,1919429479,2232050956,2292645411,2541732288,2526966967
Quais são os ingredientes do biscoito de chocolate?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os skatistas profissionais da Suécia.,1102820873,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1116035606,1077469651,1153740976,1085763479,1111813413,1096831217,1154497283,1101298995,1112488318,1131626320,1098736423,1109586350,1115275629,1124960919,1098386589,1062188251,1142517366,1076766672,1085853862,1116327363,1080344045,1075155961,1084339627,1143188896
Que ingredientes eu preciso para um bolo de cenoura?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O Neymar joga no Real Madrid?,1968644952,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1532849895,1549148074,1587696960,1581941794,1613620299,1621350479,1584197430,1623594762,1693497808,1655947101,1750562871,1762358285,1823314384,1803781609,1894553410,1901706007,1971550483,1865173302,1900923336,1979816958,1945200207,1994559645,1986683323,1916696089
Que cientista da computação ganhou um Oscar?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas empresas foram fundadas no mesmo ano que o Google?,48443169844,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,5336220258,5303227198,5443315088,5249249723,5514062738,5136119847,5298141737,5302857091,5446846027,5431258079,5523356505,5402832606,5417076173,4651836445,5627310577,5666839726,5530518059,5391025813,5853194183,5745957715,5673461603,5728738838,5667837269,5764656926
Em que cidade da Inglaterra está a sede do MI6?,48074561463,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2229272848,2207885109,2265003195,2191465033,2207133684,2249025001,2232248976,2181963816,2308263269,2252526229,2320806428,2331520724,2223989580,2221738422,2367582016,2400520133,2488790586,2501862078,2423919931,2535270636,2920448818,2947121694,3089468024,3167070139
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?,103163590092,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,102099511607,103698098220,103172911689,103808990426,101606139580,101627418563,103428383037,102104733490,105390118727,103384437743,103435765379,103663144645,102909407086,100875315801,101504885445,101610471309,103020709492,103329141269,103348510099,104197911386,101951886253,103482323974,102206480598,103151408568
Qual o significado de IYCM?,19501939914,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,20051266835,19109543385,19183657092,19312967745,19182769935,18775801944,18957097533,18956488544,18862038979,19179961387,18888966933,19130475134,19642561779,19012188921,19055630057,18655088894,19172361229,18980301732,19264520283,19244709888,18777473990,19063937397,18897717343,19204806730
Quando a Dinastia Ming acabou?,851675968,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,913458558,894848586,873715109,889387284,905210537,864703427,857539757,884671982,881994809,876167040,875693388,896047622,869109315,896710110,891164119,869751903,875674030,859854738,897910503,877321210,917259040,891544198,885152341,902916734
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,10727592256,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3918217341,3819323112,3490222916,3563333862,3873547782,3835100985,3840817422,3580148151,3475319735,3494869714,3930242814,3707646410,3983453927,3541368507,3549587860,3559314767,3642508383,3583567110,3586467796,3692345075,3825731215,3716821398,3937292018,3785219767
"Qual é a população total de Melbourne, Florida?",7908689100,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7806505240,7761175415,7970438956,8069493888,8024363514,8061310855,7984435364,7894512819,7966664994,7971318038,7899461446,8049095845,7906177740,7856671816,7882684954,7815512794,8013611323,7874786932,7986807068,5998745927,7983784360,7962252656,7979023346,7695052278
Arnold Schwarzenegger frequentou uma universidade?,10471899149,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1738975644,1696424383,1755707671,1768552957,1782321826,1711734325,1768524990,1783319390,1815719985,1763516605,1825178860,1835203228,1907817980,1879925494,1923308121,1920673095,2019939615,2002166976,2036748921,2055905082,2103508054,2069567377,2188663691,2207685258
Em que país está o Monte Everest?,1463123960,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1493597741,1493665327,1539744748,1582068984,1517486705,1506433369,1497703359,1476173292,1508125617,1460211191,1520750439,1467769454,1507554525,1474623737,1520057539,1491767466,1505138954,1473390604,1525477027,1543456712,1498787745,1503445910,1516828667,1479879379
Qual é a maior cidade da Austrália?,2935499622,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2849685951,2993864749,3012099438,3024226450,2905729956,2851595618,2997566551,2905076681,3122990699,3006160529,3034595238,2953852739,3032742177,2995669384,2965497656,2881575477,3048116099,2934843331,2876412859,2942982131,2929232788,2918067682,3020142415,2987876870
Ache todas as plataformas de lançamento espaciais operadas pela NASA.,43869964329,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,35138064079,35308238572,36590116302,36418072477,35426487006,35626500641,35216532674,35109696862,36383365941,35538820160,34964985060,35690347041,36093806115,35776354335,35902903092,35444595852,34910260643,35506270563,36026851208,35617924322,35602239492,36124038553,36211687289,36263596096
Quem é o prefeito de Tel Aviv?,14274784253,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,14180418895,13978668339,14436842269,14876102539,14269958631,14438126084,14628331009,14482800649,14501664210,14355717821,14409532658,14313129808,14550297573,14309964381,14478533722,14455401360,14299744102,14326922161,14055343320,14241460029,14270004337,14105136330,14417783662,14371009337
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,11436509568,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3550298492,3805368837,3544095979,3548409030,3594236821,3659473454,3876170805,3585381305,3948901286,3620056976,3548248948,3671907382,3562776794,3980093236,3732174513,3550004871,3584373201,3600807806,3570411253,3777680588,3699834682,3680649157,4172103132,4160495768
Quem criou Batman?,4058995019,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,4151334317,4302920165,4069037529,4242822773,4273202975,4252070659,3970522020,3960753390,4360723525,4074424521,4205231072,4107668400,4079352117,4114208239,4320216630,4076366986,4053729782,4069717928,4076778933,4181120148,4375808010,4210083828,4219448968,4102105903
Quem interpretou Gus Fring em Breaking Bad?,1160405893,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,901841056,906717681,905771545,903587565,954832643,968804301,1006095794,1005544854,1031166468,1022631865,1095115135,1051922985,1096196301,1090241121,1115782257,1134030392,1189124815,1128236327,1157716310,1156412855,1201955949,1159780950,1192265767,1205865187
Em que linguagem de programação foi escrito o GIMP?,2590350612,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1284673952,1298891809,1264714185,1296034512,1229289761,1284373708,1287864651,1266643962,1294247572,1291772379,1311096846,1269972973,1307003213,1278617377,1362771892,1343870670,1343247066,1381736498,1433118189,1409742423,1416771678,1495724004,1403768045,1493220830
Em que império antigo você poderia pagar com grãos de cacau?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o editor da Forbes?,21976550547,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,22406800718,21785978194,22368262027,22063116960,15374302497,21950871625,22313472874,22076837024,21916445518,22526608042,22096908656,22196555039,23761551456,21977499603,22309643076,22227554209,23764545922,21923105904,22157884131,22388822820,22266004682,22006971154,22097448613,22058338535
Quantos habitantes tem a capital da Austrália?,24374839539,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,4674277993,4610732396,4783258405,4799260704,5194792631,4816991159,4851428528,4796312115,5316029330,4864840963,4871199164,4788535817,4993709933,5223672711,4941851351,4938916145,4941279268,4896649352,5110416246,5080310307,5254433106,5612844562,5575027236,5562791188
Quais surfistas profissionais nasceram na Austrália?,5457992162,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3264086398,3289612208,3459374447,3315106685,3323631883,3329306680,3344078983,3345496232,3473288815,3287220219,3357469616,3362314741,3437863457,3537618579,3469145164,3466178473,3558575635,3564592229,3696155016,3623444775,3940627040,3951324676,4491518540,4329673852
Que companhias de eletrônica foram fundadas em Beijing?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mostre todos os jogos da Mean Hamster Software.,1697793023,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1746278382,1737704550,1719116035,1701489006,1729603849,1652902062,1757564911,1677718272,1686794205,1632781261,1687734410,1711196542,1692216979,1691779406,1676478675,1709048661,1681086672,1753569893,1722424010,1717628819,1723728912,1732942056,1746077946,1663186114
