,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
Em quais cidades o rio Weser passa?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas cadeiras tem o estádio do Futebol Clube do Porto,17679175041,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,223437980,208493088,233369932,234604239,248917636,223745071,251138051,276138892,279329812,292755738,303076609,333073750,415410454,408118695,539345492,487801867,675192447,666927501,726179303,772793530,727132313,802346058,870183533,906894063
Com quem a filha de Robert Kennedy casou-se?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que livros de Kerouac foram publicados pela Viking Press?,85712040,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,89883154,87472229,84380917,113559995,95533057,91965718,94693894,95267736,93924532,88829662,95408925,91652123,84770528,97616149,88463771,90609829,107327717,89123420,95361060,95056909,92915128,106666855,96263118,84924421
Qual a altura de Amazon Eve?,160156814,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,203833753,199312182,183647597,186762811,185327404,193673563,187144563,186006996,195340263,174755476,183083088,184465012,170724238,186439675,195135828,181318331,180623737,194997520,185716304,197975736,184460998,195543520,193945958,196094092
Em que museu está exposto O Grito de Munch?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem escreveu o livro Os Pilares da Terra?,142866862,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,171504602,148589758,151928433,177950226,148996666,153059957,159953517,162094987,162883706,155931294,145463994,147604739,158645090,147841650,147220964,165031349,159340364,170322818,155224465,153080672,158641454,153487408,160827000,157696260
James Bond é casado?,109831697,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,117920041,95127289,102487490,98360426,113756208,111189361,110791192,114188307,109217158,123785295,115494923,110088859,118960390,126192858,105021379,109714452,123467891,111931090,116827893,121725638,119993794,106553139,104628528,99150974
Quem descobriu Ceres?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que rio a Ponte do Brooklyn cruza?,10417229389,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,216013990,213810402,203852199,215350745,222574583,216870595,230233171,233260804,274991234,271322889,294426193,284484987,297495981,314372742,380625789,417606277,479934748,473135900,501263232,472857867,873415176,826023558,1152246610,1173825850
Quem foi chamado de Frank The Tank?,150173019,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,157896341,161584139,156200219,152664830,162556096,164646462,146816179,165098975,154740522,162381264,155126663,165876240,179696138,147467469,157175146,160344932,159034664,166718338,162925578,162595891,169738568,162657299,163083034,151278398
Qual é o maior país do mundo,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o prefeito de Paris?,222380042,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,249046450,247015501,236315785,244999397,225748098,261110680,243994116,240118322,252995382,253237554,234906748,239321328,254383507,253525870,238573851,245676792,232938022,241336102,213794506,242140527,227090163,245996434,270521921,255248334
Quem é o treinador da equipe de hockey no gelo de Ankara?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o prefeito da capital da Polinésia Francessa?,11787268736,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,230568533,222137988,247680241,243338176,260017522,260222438,278503938,270128545,271487293,283876695,285807457,297058986,301983838,288018026,332000699,323642729,366013370,340596785,379787926,387673213,497037848,399422609,448878769,429576962
Que prêmios Douglas Hofstadter ganhou?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quanto custou The Lego Movie?,77084599,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,89147365,86891755,94077602,86474494,87658520,88292822,102639827,90502157,84721970,88340968,97366999,90426369,89976825,94297615,94201925,87683656,93871940,82731209,99830522,100024849,94696425,94322699,95911639,108126238
Onde começa a Piccadilly?,53174923,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,63374288,62941870,66324181,52093377,58326237,61816311,63528263,62277578,58295987,65713850,65002992,69021512,58941522,63730227,57619482,66952300,57785207,63474359,64637717,74721735,62469967,63924171,66500707,74859146
O Príncipe Harry e o Príncipe William têm os mesmos pais?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem interpretou o Agente Smith em Matrix?,447002413,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,104952768,105498837,111254975,122627770,108487569,115773283,133350576,147190897,156420564,152205009,201802117,195071492,245932796,249652428,279160627,303132188,301051066,303213739,309116157,333918931,331130378,353883979,346967616,340044295
Quantos idiomas são falados no Turquemenistão?,33818094948,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,269876435,245813420,280670524,282625073,284419933,290519998,309209096,294642540,293161941,281901080,295653397,332679287,290922263,303972780,325395469,336970337,367987449,366404861,360533202,377958150,418599737,425066913,527405756,506765134
Em que filmes Julia Roberts e Richard Gere atuaram?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que país nasce o Ganges?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que ano nasceu Rachel Stevens?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Barack Obama é um Democrata?,103533259,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,144005089,119911820,131322256,130618597,126010518,140411167,132475276,125957863,127418753,137349072,135888031,132276071,125635969,123093180,122849762,126177230,144400381,125576402,134413532,141342411,135253937,132035389,122946575,146015182
Onde nasceu Bach?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas vezes Jane Fonda se casou?,87644271,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,90195340,96239348,98031630,108636714,105742474,99829787,107239419,106785618,95859956,93752766,86915572,94310744,88903363,104533015,111759421,99502884,106978994,97561179,102154725,101054144,110660565,111313861,104188371,100569250
Quem foi o primeiro a escalar o Monte Everest?,73228580,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,69289401,76679969,76724871,82527610,73616887,68377006,77422126,72778426,76341769,80808543,76106853,74247243,78350568,78463125,74672764,76645773,77611667,79043848,77253512,75446895,88050468,83385335,76234471,83480561
Quantas pessoas vivem na Polônia,14042882235,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,209576544,231201940,264974937,227471823,250058817,271909836,247006063,234295185,248792960,242321720,260087769,259756943,266392815,282757597,290687635,260291349,267988011,272855322,317662477,311950042,390296026,433824032,432369400,444880873
Onde fica o Palácio de Westminster?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Batman Begins?,377715694,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,98835554,99847282,102717575,121186427,130835648,127531554,139543857,134191037,160348466,162426916,197394962,216935972,266676550,292435496,353789729,374870060,410527794,409921390,390328720,398103204,395648197,434243273,395115930,386311890
Em que país fica o Lago Limerick?,220893117,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,233630820,229582165,243966255,235791178,229460777,226316132,240152362,227682844,228066857,236347879,234355887,227143954,246821581,238369132,233451559,236565869,241999932,215168300,228455405,241552943,238197646,242890931,253211863,237545333
Qual foi o último filme de Alec Guinness?,216475089,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,230509257,239758411,228159145,238000421,241255676,221704713,235357521,238116734,220871864,228632649,237143061,247915775,237548534,231347839,247246752,252247176,240706757,235278486,215709286,215812013,242979248,217467875,272794359,258264656
Qual a montanha mais alta da Austrália?,167224239,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,200295095,227141759,246401654,171314129,175522857,260512591,186093128,183435456,226114916,203214870,220663937,194847536,246268149,203195804,172179758,199931058,201322046,223657338,273058892,244214460,186194247,178802864,221949999,239296899
Frank Herbert ainda vive?,63892090,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,67275886,84763939,79354154,92991256,73892749,76737666,75707619,78313426,74313261,71103810,81518958,75698533,80014567,71238254,75781276,69905014,71344994,92887458,71474630,73331252,67175271,76448141,79410513,83326926
Quem criou Family Guy?,144997592,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,161103213,162111566,153676906,169977389,167831774,160655194,163471399,167840803,157200363,163989358,156335958,164511504,171837488,157814683,158619580,162256761,168764047,164284031,161553287,176052446,162503101,166537354,169863355,161232455
Qual a língua oficial do Suriname?,289332246,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,294428205,281019014,297355851,292914167,257662212,252463874,310394821,264627247,273034666,253835724,287994839,269966794,261323381,259173894,264855731,257806074,270970193,284727080,273644725,306795955,249017380,345235020,251365456,292482965
Quem escreveu a canção Hotel California?,147046290,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,157963858,157014625,153861112,162709896,162620218,151971354,152455863,161263252,152302997,156213360,148594880,160315730,149791884,168578768,154417573,160385787,149528315,152998914,161091068,157849412,168321609,161281577,156604476,159292966
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.,50144256863,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,319290933,342457902,374647363,344318292,385968532,363540653,350861931,372376065,394434716,391950785,393047124,388399596,419520288,413909291,467472552,417589517,476086611,483405694,612576945,600884134,999549353,1049010556,1263149469,1217790402
Quais são os ingredientes do biscoito de chocolate?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os skatistas profissionais da Suécia.,63211859,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,70342675,66352906,67727704,73287567,79678451,71142368,67712351,63279621,82310845,70062993,73920185,70103309,74275912,63343124,80377449,63341123,75724016,71055734,70122899,80341202,77852876,75993999,77863116,75323619
Que ingredientes eu preciso para um bolo de cenoura?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O Neymar joga no Real Madrid?,444061965,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,79118665,82411471,111129015,101113641,115927651,107647778,127308315,138303563,186097859,177769704,242039152,245748263,304027722,285158980,398547680,385558876,430695646,424399023,394802611,434913877,421790211,457118369,477405503,431415180
Que cientista da computação ganhou um Oscar?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas empresas foram fundadas no mesmo ano que o Google?,40279733580,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,279378042,299911539,304610967,298118766,315750765,315405327,320367075,319071312,318938640,374998904,416381875,368445030,436535874,454186794,595892325,561634294,512072553,517815678,740046975,690390551,746751820,719685394,711254350,746327105
Em que cidade da Inglaterra está a sede do MI6?,39972561938,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,295550940,284530244,317929689,297495911,304384193,315688730,348126053,298578136,330681703,324788550,370717552,363466697,360816476,392038866,428904800,436254699,521020843,535086309,589335836,589930074,1047458089,1062042483,1140685329,1161866807
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?,977937995,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,185039157,162901659,192355360,188811670,211109741,212756579,193005862,186172137,214438375,213734605,224077443,202009831,216904190,212652737,230403932,263402770,268616124,251453964,261720925,281118864,308896901,291717212,290430207,284924796
Qual o significado de IYCM?,157824727,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,151057969,143300726,144054616,163078353,152880960,156977713,163397091,169143774,165266728,147812681,138676823,165378829,150278722,143354971,153406694,172758418,171311832,159907412,166960118,153080217,148789169,145684570,148559644,149685478
Quando a Dinastia Ming acabou?,76075353,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,83948518,92765840,88617948,88889400,82548940,89901353,82111897,78325725,81536960,83174973,96156158,87186983,85301227,86261836,85639975,87207536,98379832,88428960,85670820,85484678,87019823,91819444,84102104,103700736
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,6740586264,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,245914530,282927781,289406176,303336922,303130039,312520207,303489842,332410926,339547523,366398734,361136408,461376119,403365183,356206453,451902147,389021438,446204362,416459145,458833985,564075663,596879937,534206905,719490763,590001136
"Qual é a população total de Melbourne, Florida?",309811672,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,276238313,266655823,329931895,323564221,276080776,311092061,294545797,319976948,308557253,349540851,318427167,353214265,286194122,267219408,301824813,312084728,316499316,301558852,279058360,321098554,329191651,314657059,304990003,300369128
Arnold Schwarzenegger frequentou uma universidade?,8260825128,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,209623645,190647986,217452862,210705017,214648918,224871605,228300036,244923176,262821129,270871204,279951962,295069286,389545230,356420432,408277451,416038789,484012900,499423225,555651387,553978661,598693568,583077157,673945834,705250539
Em que país está o Monte Everest?,219851092,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,238069254,231948633,230652528,246428955,232079254,244827986,228345749,233844929,225157738,225130654,232533397,224995548,240465811,234135881,242010717,233962688,237023838,230295377,238713778,240192464,242308046,227852952,233407766,237315131
Qual é a maior cidade da Austrália?,322598684,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,292240767,309486071,370220468,354014589,283892521,290911643,340029871,317073485,283299091,330368913,329294344,335324047,320867387,321512082,371878994,335545086,305951241,278919212,306689126,288774919,324029068,324734708,354603546,371310031
Ache todas as plataformas de lançamento espaciais operadas pela NASA.,8455336672,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,369040607,440169514,406128480,360174151,423213420,433342793,389690302,377972675,447191323,325735016,382618323,444716467,451471491,489915602,519538802,567378622,598942859,652607492,615518110,798747052,949547944,951318951,1105962374,1140573937
Quem é o prefeito de Tel Aviv?,186683196,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,193721662,196918088,200384673,198931304,209743524,209840851,162643679,205201032,194464749,204409150,200750364,200116393,208409901,199092226,196278981,200678165,211107963,212244918,212811705,205371493,192770246,219486746,202133422,206872878
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,7288354535,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,296495391,283582001,295526618,285390244,345865275,383780230,287431820,319022480,334962986,385673146,352841827,378144635,375631806,417098562,402493404,402896468,476015720,425921014,468260093,495889618,489440597,489998410,583596444,561670382
Quem criou Batman?,197617221,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,190599079,248319550,216661113,198648515,187477860,214305473,186111963,191874641,218326259,189018588,193895444,211213887,181409900,194925684,195324008,197800659,197548860,197761638,196690279,185301788,201698959,209531916,208785207,187282192
Quem interpretou Gus Fring em Breaking Bad?,358538079,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,106007056,106188155,117155957,129833313,157375788,140449932,164062252,170153468,221950325,215075172,283509308,268125056,304590417,282116073,318369618,307676770,355288586,314554972,363505415,360396934,386088687,351107320,383174359,363803518
Em que linguagem de programação foi escrito o GIMP?,1400402531,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,181995177,198014645,200284817,203418420,201441816,207833112,219914542,217748241,216512463,243485826,230178124,241167323,253662297,232447361,290088272,276784622,307714909,285973512,364528883,360412637,346338572,376163319,354221324,392009942
Em que império antigo você poderia pagar com grãos de cacau?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o editor da Forbes?,204745498,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,204106020,211237607,217559673,211734783,184283542,213515247,213673380,199324863,190634961,239345275,214976276,214796947,213365303,211477546,207525712,217678314,230151976,209173928,209257499,219856996,221810833,208472279,199384527,201075630
Quantos habitantes tem a capital da Austrália?,18094422573,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,223652062,219335854,236253854,252345500,261272254,259032219,237989628,248236761,243511184,258243262,254049494,275596641,313689100,283821146,334610751,318928938,410790645,396715646,499619556,495545953,773929429,764960714,1042900584,1029522318
Quais surfistas profissionais nasceram na Austrália?,2142327176,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,169068033,153051761,179433329,198809151,165663711,206773335,190015903,201094129,190639213,193546436,202019754,201222610,270329255,241510839,291927797,292783066,396487856,391085046,481220586,476428350,777061408,758129952,1194812792,1084932969
Que companhias de eletrônica foram fundadas em Beijing?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mostre todos os jogos da Mean Hamster Software.,232401576,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,237536783,242001263,240290728,245482759,244559186,226015151,248352146,241357486,249182196,235517256,240419866,237857890,245659374,235399499,242465917,247678901,242625098,240727628,256338600,234504881,258267108,252276109,236319811,252127154
Quantas lojas Aldi existem?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a capital de Camarões?,185649167,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,228066374,207902502,212717431,237225166,206285736,219361663,209716287,187397814,220559849,219726163,215936692,225097443,212981499,237583773,194401170,224616145,207242054,210934827,218473539,213171134,212819218,217408449,244737220,188719490
Há algum jogo eletrônico chamado Battle Chess?,17291887309,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,403270389,405470613,437912485,469426611,475064894,397017062,386195662,448748711,465589321,398765964,493565809,429647869,441343977,392816632,490058878,455338798,550229535,581529175,655012386,602748902,769507012,763455425,1278480847,1210368625
A esposa do Presidente Lincoln chamava-se Mary?,14158643736,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,295091198,288734492,291233856,318869090,324800282,335949363,336825750,329155248,359725356,355951297,380925559,371645485,376475145,384473109,401579991,376515463,394401676,434232868,402918426,430306215,464641767,398225279,400975758,410826667
Encontre todos os filmes dirigidos por Francis Ford Coppola.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,277584208,289652012,301304662,294034202,296213472,297045054,302654730,303887738,313235063,337032532,350760589,363455916,409672577,388516886,563882845,563380657,721611850,725024835,999066604,938436783,1239803215,1264687071,1572745760,1659338146
Qual filme de Tim Burton teve o maior orçamento?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,275916693,302974830,298133992,288171327,329575382,300661645,321540560,318670788,365401101,345862338,396343308,416007492,400507022,372856365,448656635,367786311,441745782,457703495,489812018,459954377,529665492,530737000,652947883,597858052
Breaking Bad tem mais episódios do que Game of Thrones?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
