,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
Breaking Bad tem mais episódios do que Game of Thrones?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem era chamado de Rodzilla?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Natalie Portman nasceu nos Estados Unidos?,19217,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10,10,30,30,50,50,75,75,100,100,150,150,200,200,300,300,400,400,500,500,750,750,1000,1000
Mostre os netos de Elvis Presley.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10,10,30,30,50,50,75,75,99,99,148,148,198,198,296,296,396,396,496,496,746,746,996,996
Quando morreu o criador de Drácula?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que país vem o criador de Miffy?,28399,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10,10,30,30,50,50,75,75,100,100,150,150,200,200,300,300,400,400,500,500,750,750,1000,1000
Qual é o nome verdadeiro do Batman?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que forma de governo a Rússia possui?,22168,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10,10,30,30,50,50,75,75,100,100,150,150,200,200,300,300,400,400,500,500,750,750,995,995
Quantas companhias foram fundadas pelo fundador do Facebook?,33581,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10,10,30,30,50,50,75,75,100,100,149,149,198,198,298,298,398,398,498,498,747,747,997,997
Liste todas as gravadoras canadenses de música Grunge.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantos filhos Benjamim Franklin teve?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste os filhos de Margaret Thatcher.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que região é o Melon de Bourgogne?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual é o filho mais velho de Meryl Streep?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
As rãs arborícolas são um tipo de anfíbio?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Velvet Goldmine?,408,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10,10,30,30,50,50,73,73,98,98,148,148,196,196,296,296,396,396,404,404,404,404,404,404
Liste todos os jogos da GMT.,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
