,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
Quem desenvolveu o Slack?,7281696841,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7318957577,7345932199,7250498916,7308230794,7256578123,7277094543,7269767549,7211877967,7201352570,7299791297,7282759930,7238843050,7205203392,7314867955,7369970949,7252467952,7181133329,7270832738,7252715304,7322485251,7241906555,7132400931,7215898943,7317517190
Quem foi casada com o presidente Chirac?,7880569375,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7925897262,8085631329,8015348705,8088732318,7886719675,7874186161,7876801664,7919212710,7887456190,8043220588,7947882947,7802574087,8045732064,7971669072,7991098720,7964357077,7873995260,7876323029,7845537402,7824331876,7887937135,7828409614,7884463128,7876968604
De que morreu Bruce Carver?,6978485975,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,6973270430,6950781486,6859896777,7000776144,6899726369,6798543444,6903062071,6914184207,6892416609,6873213271,6926261767,6927209770,6804419895,6934692758,6889666945,6895262840,7016727083,6893228954,6902499050,6868343487,6936363639,6948569896,6857272703,6879696226
Quem pintou Tormenta no Mar da Galileia?,8251784120,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8228715783,8312515849,8172126970,8173386616,8190700708,8170319074,8237226897,8248456275,8194366526,8165665098,8227275139,8161671787,8314258450,8139791470,8308207530,8150957960,8137340190,8162709210,8174069512,8241716265,8148547542,8191029147,8240704292,8218141621
Em quais cidades o rio Weser passa?,8044120791,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8139924019,8140096890,8222629065,8230366407,8123473823,8258992598,8175580113,8080593495,8219012272,8168059627,8091945153,8121957555,8284670347,8070792159,8296120332,8093027997,8073764660,8038701904,8003265610,8233163011,8073431121,8037023662,8168684121,8043123058
Quantas cadeiras tem o estádio do Futebol Clube do Porto,27305459092,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8743919616,8628186834,8744111147,8684572734,8831688863,8688551167,8720941047,8735209997,8871030424,8833272580,8723724631,8903645652,9012057674,8906179117,9063855267,8909215818,9250111496,9114770267,9259690586,9336900263,9311643172,9298768919,9549673105,9319369331
Com quem a filha de Robert Kennedy casou-se?,7540695295,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7596571385,7597983335,7635242683,7687980536,7820952163,7575446207,7601369588,7585043524,7619725596,7545480259,7680081035,7656922392,7688372211,7552786640,7710654584,7563340469,7583338066,7565564573,7573175138,7624568898,7634009740,7520069715,7633667373,7791400385
Que livros de Kerouac foram publicados pela Viking Press?,7327526055,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7565417866,7457782372,7471118906,7388184045,7424099934,7412057143,7548639472,7402504300,7376333319,7439838449,7423524449,7416952451,7429524253,7446719761,7453833878,7447808623,7464990180,7395299809,7357125322,7480067321,7377982727,7480069265,7417964533,7366481581
Qual a altura de Amazon Eve?,10596050833,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10654672138,10645540919,10561683332,10590978372,10617157163,10554840710,10791630515,10536933741,10679076307,10636092845,10501539155,10421980066,10447411867,10682753014,10630040025,10619492456,10586710873,10468657977,10635519300,10532743563,10454546870,10398816159,10585356322,10635833059
Em que museu está exposto O Grito de Munch?,8120370100,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8171252487,8043351627,8092500672,8028392271,8259778183,8059883793,8039522059,8063169879,8012258689,8027416752,8054511411,8029296499,8393529237,8071040558,8402724813,8131616175,8321203631,8010637681,8023602764,7999804917,8011614334,8066912787,8050707904,8001958619
Quem escreveu o livro Os Pilares da Terra?,10413069068,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10670710643,10511992893,10440840935,10366951198,10458908240,10503059791,10443605554,10413384665,10485128611,10481415111,10378517044,10416535267,10443775244,10575431918,10402809675,10451821660,10442974142,10441211387,10400013744,10431988421,10447992122,10414373118,10437259662,10458221608
James Bond é casado?,8308358086,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8446928608,8363860267,8193425200,8358544986,8358935783,8187877938,8164807129,8359737589,8298776597,8385504495,8278558033,8245739874,8112327638,8292253235,8239353556,8307661098,8353831095,8179313396,8291866327,8297887118,8288533799,8291110016,8290589924,8317202480
Quem descobriu Ceres?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que rio a Ponte do Brooklyn cruza?,21920694780,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10964432788,10789189289,10735989865,10833352432,10755435646,10773242227,10758559142,10819443050,10823865993,10927801865,10941304380,10809521020,10870293130,11020958098,10866640544,10906808749,11074086561,11104784644,11025626048,11094060964,11487566713,11476970647,11910138475,11863826524
Quem foi chamado de Frank The Tank?,7596167653,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7669520494,7607754878,7617503892,7631537196,7618418101,7684738383,7635927619,7680225508,7628783316,7707962225,7633650371,7790445911,7689089175,7714723224,7701340067,7615787211,7605068497,7630809467,7719811994,7642363758,7612116931,7633224830,7714932288,7548316148
Qual é o maior país do mundo,7770764608,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7895760021,7734475899,7966750731,7803577179,7795136381,7772533615,7863811576,7885227715,7847537444,7761851390,7876292869,7889156889,7838632959,7845394650,7955078457,7753985177,7772425159,7704908179,7918635025,7799681817,7723700883,7747849414,7814410890,7766608323
Quem é o prefeito de Paris?,28807191764,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,28865421102,28516090295,28715719759,28455499098,28491479539,28401598669,28727948664,29309054855,29077722402,28653586758,28916639648,29036467852,28635402172,28397129276,28668677276,29173123294,28717570706,28684890208,28610403462,28796531408,28732519956,29301052951,28930529620,31511489420
Quem é o treinador da equipe de hockey no gelo de Ankara?,7471720662,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7634478552,7483830506,7507425606,7519230607,7494892162,7573249383,7632952686,7553550216,7493071945,7578917697,7586396961,7541139008,7541185055,7564771624,7478397441,7524132973,7447684391,7756015948,7744738421,7555786339,7497987776,7544157011,7608457604,7577558074
Quem é o prefeito da capital da Polinésia Francessa?,23963740744,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,11508937900,11591806314,11792623214,11557528061,11736861887,11657948760,11779061379,11698193634,11669736524,11602518754,11777573683,11568873626,12065456103,11624209172,11716043623,11613534572,11707302060,11594546501,11616131515,11576608135,11800447759,11703137083,11770511814,11779416196
Que prêmios Douglas Hofstadter ganhou?,6233529473,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,6247733611,6334551842,6255958525,6231848067,6252815090,6199091661,6346149721,6260872918,6295086421,6287550251,6246059289,6266722151,6313282174,6291028993,6333224302,6339821983,6216105412,6350484867,6282142389,6222515724,6298683546,6219768712,6227610547,6298277134
Quanto custou The Lego Movie?,7680433714,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7828378461,7588519584,7745984155,7780661886,7810104286,7828524351,7757887285,7764894261,7677619886,7683972980,7728726136,7768409445,7833684829,7743027876,7697727455,7710091701,7761102077,7744627854,7768795609,7722348858,7748549048,7798380353,7751802584,7840838062
Onde começa a Piccadilly?,7311427606,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7360905736,7233658820,7355716423,7255370303,7274013641,7273182686,7310939935,7381531080,7375753191,7354556788,7382497413,7238235764,7295829156,7178771106,7376334772,7305254455,7386516968,7234377239,7393754848,7344829570,7437564481,7313584052,7347753319,7361271506
O Príncipe Harry e o Príncipe William têm os mesmos pais?,10737134584,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10868383436,10863649478,10706346248,10692724496,10674010809,10644195376,10801132874,10668129080,10742323649,10728924455,10835312202,10774765931,10820066681,10716463832,10814870447,10727284357,10740393820,10718771905,10831477091,10827865893,10721378649,10770057432,10866666333,10787853485
Quem interpretou o Agente Smith em Matrix?,9255080822,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,9137785666,8940017162,8943046790,8995647348,8952839417,9102226081,9031504982,8910739169,9048024013,9040669299,9048993845,8985968367,9172876167,8965319586,9225845151,9282303093,9174735127,9156777153,9328690274,9227623369,9259356168,9253986093,9141818034,9265751582
Quantos idiomas são falados no Turquemenistão?,51968339113,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,12118800501,11923254252,11954587902,11914943138,11931029411,12011049333,12051369373,11880090051,12040227972,11824607779,12076494480,11896819680,12258439930,11974033805,12119950629,12064754370,12047956848,12061969455,12006476533,12084671567,11980629893,12099852663,12094452292,12119321070
Em que filmes Julia Roberts e Richard Gere atuaram?,7422776017,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7439682424,7418730470,7458949383,7334839352,7424450482,7389838375,7436551626,7348370658,7433400561,7431790521,7398465061,7402492779,7431566746,7406050934,7582789800,7481934321,7366585505,7379551912,7386533452,7412172268,7402905519,7368159440,7433390663,7385592181
Em que país nasce o Ganges?,8130801512,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8174599907,7874835338,8220573601,7968626646,7923296022,7916007436,7970023583,7900697900,7932285118,7932152739,7980392572,8071689401,7948475282,7944243674,7900585278,7909807975,7904794852,7860565298,7867651564,7995584926,7934093972,7900162099,7946975306,7910065564
Em que ano nasceu Rachel Stevens?,7742065103,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7772789270,7724944162,7710267932,7973128828,7752238909,7716882775,7668868731,7711945744,7766451895,7770287010,7719495715,7739525535,7862400954,7900041753,7869790027,7756491976,7720946951,7920123555,7713243115,7829696580,7684742032,7739526123,7725808495,7709904613
Barack Obama é um Democrata?,17934194351,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,18092233110,17731669617,18039726393,17685244170,18185513147,17915788660,17974271052,17974906883,17652455215,17581551292,18255749832,17841284487,17485260183,17969188120,15083524055,17811106922,17801913409,17605395833,17519904601,17501387528,17473845591,17934416702,17752609379,17732281649
Onde nasceu Bach?,6213641335,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,6106547681,6113736354,6281295973,6181713942,6085101566,6186062101,6084287976,6118754730,6194170634,6067797364,6176354933,6276107195,6152073995,6125811417,6256381298,6127771742,6222424449,6149492084,6132165658,6148356844,6094495246,6150965391,6143399130,6161284124
Quantas vezes Jane Fonda se casou?,7084329756,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,6941438953,7080372711,7138891480,7104129655,7051481027,7210511278,7149517490,7044035121,7124901623,7006480044,7068427834,7074096881,7014909380,7090288290,7055409307,7029295111,7126385918,7076736385,7041816131,7005323845,7185588342,7089191211,7116960711,7022150721
Quem foi o primeiro a escalar o Monte Everest?,7232009059,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7264510081,7105394195,7188649414,7198335901,7087140207,7246333643,7155680392,7140037891,7107487764,7296356117,7247953657,7092653056,7166649162,7143724844,7270607455,7127999266,7242568827,7096689601,7117881127,7139441275,7265867745,7173119497,7225785902,7129480230
Quantas pessoas vivem na Polônia,24651005672,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,9894845523,9773489511,9927520109,9838710788,9794731560,9872494898,9913350155,9829593739,9869595619,9746931016,9930760339,9880511476,9890113423,9875560456,9877402954,9747207781,9973251097,9872012272,9923186914,10009845148,9990594820,9964963145,10032917736,10041120012
Onde fica o Palácio de Westminster?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Batman Begins?,7561378252,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7027229815,6997381581,7009915522,7060500552,7116770051,7077997088,7106002507,7000365603,7119667793,7074591012,7124432499,7148169850,7231216060,7261878670,7348734199,7352577725,7310543598,7337411183,7341691885,7425829399,7342389307,7420756322,7435375230,7386012216
Em que país fica o Lago Limerick?,9607797551,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,9774661812,9633116436,9809155417,9552371436,9692124768,9553146080,9562366039,9641860803,9683334354,9700404849,9686171012,9577004075,9741036894,9525440999,9601914220,9527656907,9573156123,9624991701,9594747577,9605461209,9738225759,9585452917,9629245685,9639407055
Qual foi o último filme de Alec Guinness?,8791724142,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8993659342,8990817257,8745668384,8968764142,8713790504,8749857242,8753872076,8713742637,8696772469,8813221471,8760062748,8735706380,8732208602,8750858574,8745450605,8758841687,8736932747,8663913748,8840208353,8771997131,8901599483,8678310200,8793785589,8748807012
Qual a montanha mais alta da Austrália?,12008421608,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,12019848668,12076681384,12164772079,11923106522,11987565129,12424106160,12186915911,12005701041,12104030436,12237517583,12051276689,12201536669,12289472789,12392601650,12090509960,12117033528,12017561341,12149454053,12103084005,12225877545,12069482127,12097960702,12136821285,12166262911
Frank Herbert ainda vive?,7589582584,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7680982769,7521813349,7616882358,7693933235,7605086258,7711778958,7617211380,7600591823,7652778651,7595262771,7674801608,7671377921,7607359649,7573390294,7574750849,7547003223,7517828635,7638701237,7712309414,7647140869,7599885130,7631303689,7572500076,7672679305
Quem criou Family Guy?,7835872638,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7853703672,7751813158,7714375853,7830007441,7849733301,7783183223,7925499551,7749208174,7769648498,7783792052,7762658615,7723084627,7916325754,7722121994,7810012469,7711329744,7785264191,7902951607,7764026915,7763374954,7729374608,7794319235,7808566608,7721907337
Qual a língua oficial do Suriname?,13598427638,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,13890758339,13459422636,13597017731,13550150999,13709069660,13463736551,13621391753,13686395326,13767265614,13348086266,13990761066,14330205270,13837326764,13658985535,13796711754,13944196640,13717931248,13843517409,13697939862,13627158346,13535549314,13664171774,13341599194,13847919754
Quem escreveu a canção Hotel California?,8563736312,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8535846945,8548968118,8584923765,8527182812,8553491872,8608408898,8650170582,8640792106,8637702392,8560094797,8566389490,8614398465,8648369618,8588548676,8601962175,8657612686,8531496256,8547759732,8608931329,8638221601,8614794199,8613452203,8644064253,8516818238
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.,62746489314,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,11683841237,11786398578,11689405532,11811946868,11734184032,11676056245,11679535108,11707347343,11703599092,11739103934,11881295641,11670545758,11844907671,11719336541,11949972157,11629357388,11689944034,11734149065,11902199886,11903975058,12256400961,12205525161,12524777461,12554527252
Quais são os ingredientes do biscoito de chocolate?,10630201009,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10323328928,10390282710,10513343514,10413633069,10399924805,10319780629,10411953452,10620827234,10420108997,10307731604,10486631570,10329053668,10442278107,10466526394,10548553998,10311513261,10395378710,10318415047,10310947765,10361668009,10349466354,10261728308,10393927744,10348716648
Liste todos os skatistas profissionais da Suécia.,7485847998,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7434961864,7420642357,7429479695,7444376434,7358369279,7472543324,7445840979,7492061977,7312442196,7382146406,7405215314,7456271765,7455448329,7532024899,7355790074,7497182129,7481427592,7353346365,7379204158,7457313670,7417448450,7330879348,7355836076,7557352537
Que ingredientes eu preciso para um bolo de cenoura?,10382259507,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10585714739,10444956674,10495021738,10488244182,10553108859,10480444733,10461766405,10378091658,10517493510,10475907304,10546325586,10561446239,10529367962,10443104759,10501529006,10303969935,10397208149,10436169709,10536347019,10447634069,10371131358,10443859687,10343572381,10469345800
O Neymar joga no Real Madrid?,8567754725,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8048060510,8032200489,8058165488,8026787254,8128088592,8234586302,8133396643,8110570756,8174904903,8140356199,8268178020,8239491553,8361939254,8429384885,8435019931,8438536414,8528163623,8419443410,8428448462,8516067485,8594234860,8522440860,8453381206,8447106008
Que cientista da computação ganhou um Oscar?,7313761770,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7219741115,7203366771,7345748183,7440657181,7289609595,7262135578,7259077359,7171077164,7238910987,7321368382,7237527442,7420036615,7248747193,7366888617,7262941673,7448918200,7375150216,7247478835,7231350484,7355258175,7279546491,7288350546,7371360388,7267203296
Quantas empresas foram fundadas no mesmo ano que o Google?,58865264591,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,15724905796,15629006183,15790086374,15564380497,15823176976,15597963921,15721155409,15654804349,16018618134,15806870537,15971834669,15832133889,15851593997,15067671984,15918665726,15958235246,16032614291,15810668468,16345917954,16013700297,16136990731,16133621662,16158796007,16211400089
Em que cidade da Inglaterra está a sede do MI6?,57764998594,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,11832742686,11797602758,11808524109,11762281501,11798999397,11788236305,11839678721,11752310091,11907929118,11984565577,11822066371,11999171872,11906952331,11813377260,12001073108,11938540148,12127443687,12037027131,11810301702,12106653785,12502247596,12523508112,12831474867,12825430082
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?,127382087530,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,126296007933,127755170066,127870840908,127910080740,126038407039,125757663630,127686158163,126098357019,129625493347,127405672643,127689042125,127691465710,127122697935,124970360988,125688561836,125954523726,127539074860,127374237895,127418224838,128530399894,126255000761,127530024786,126673109907,127122690344
Qual o significado de IYCM?,30231737173,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,30790611243,29868920319,29909794611,29920008379,29923335395,29565333495,29813260919,29701636177,29676750988,29872781174,29606678182,29931108506,30540014279,29805249733,29785568857,29337694558,29963887240,29619966528,29845828070,30081758402,29495672980,29761831950,29569079055,29953515094
Quando a Dinastia Ming acabou?,7066890297,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7265518859,7126812016,7142213764,7202622967,7143689566,7154055540,7118505212,7116919141,7145169024,7134193705,7120488378,7159607904,7205942015,7133543705,7161062166,7118065922,7048023537,7105632033,7133468151,7094318493,7167759561,7118730999,7014801074,7158350515
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,19454766551,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,12678989658,12582787170,12297151386,12570634707,12672378081,12582884298,12614472397,12384761932,12358015982,12383189265,12883275659,12628218447,12722249658,12592368409,12548321346,12295826392,12412333741,12367500617,12342977372,12558510602,12636020638,12513927491,12690965176,12500154511
"Qual é a população total de Melbourne, Florida?",18359189547,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,18308548451,18157392823,18556818657,18563248495,18538949490,18520495180,18481784351,18411780604,18392016810,18489357857,18416244788,18526890108,18442386903,18448565253,18380361721,18477806609,18550963141,18495105283,18547714786,16434280915,18421094564,18412175147,18632842072,18102140835
Arnold Schwarzenegger frequentou uma universidade?,17686447872,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,9097848181,8837776721,9056078135,9030533520,9004263210,8963135146,8982380793,9171911195,9107752200,8949609475,9129470635,9084037074,9154367582,9178317963,9164516117,9390672152,9227230051,9167244316,9466461152,9213948431,9343383468,9248633660,9413176765,9515514653
Em que país está o Monte Everest?,9576648750,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,9662337964,9784863376,9716760786,9710668187,9699208348,9691351153,9712058714,9718353781,9729051977,9604996627,9745846552,9621633962,9879295445,9633779593,9642984540,9620649987,9691261860,9651282947,9634087288,9666372355,9602222695,9709877745,9852244216,9606587457
Qual é a maior cidade da Austrália?,12018155930,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,11966528960,12185323020,12270933319,12118802516,12083897731,11983212621,12110566593,12153342611,12241565266,12259633487,12204724192,12003298264,12275527618,12311015141,12118967007,11954881909,12166946563,12122293366,12044569741,12027195559,12211673328,12022568028,12319161558,12048694855
Ache todas as plataformas de lançamento espaciais operadas pela NASA.,57913572062,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,49325017971,49328145994,50914519863,50575205250,49842551957,49713877960,49618875218,49109724212,50552909473,49813937193,49309609163,49756008295,50253254324,50014319304,50059682328,49506982747,48895294501,49658293780,50117917640,50083419688,49731947298,50104526616,50220469217,50441614457
Quem é o prefeito de Tel Aviv?,24799925612,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,24605643041,24371193325,24914971092,25287266662,24770238418,24916808660,25273285820,24908333941,24960608431,24827363223,24894226904,24776679911,24977842998,24905711612,24843754656,24796173693,24807048705,24643138546,24386548981,24689764890,24685578926,24625942464,24752741942,24710279729
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,20201160843,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,12352602652,12583555923,12329148587,12390644520,12391776903,12385607825,12873594544,12283521338,12845253472,12392459704,12349431987,12443264505,12484458441,12728085491,12507421702,12492267717,12393087350,12449436189,12489590692,12583457736,12540895980,12429986893,12898047174,13175308459
Quem criou Batman?,12543713297,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,12674476664,12756712883,12602469616,12865611840,12879418639,12733441280,12523683599,12547527547,12906150123,12627656336,12930886239,12743412659,12743956612,12575231770,12835172973,12651090036,12600495992,12564386046,12587917272,12827524878,13055174426,12714254810,12713550756,12569147361
Quem interpretou Gus Fring em Breaking Bad?,7298560322,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7052435361,7063437548,7131944430,7016702456,7067820523,7104739824,7151962980,7072488386,7194851407,7164278375,7284455531,7190087127,7283140533,7269553346,7281667328,7248183461,7383597438,7315802116,7301079617,7345136398,7327564882,7310415957,7387923623,7376029808
