;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
Quem desenvolveu o Slack?;7495005856;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7431644015;7253417986;7284563873;7295011616;7290883619;7213966993;7222216095;7235169137;7347477195;7267206581;7218295298;7142385047;7267960907;7189102872;7264552211;7256986868;7217341631;7169791308;7248126098;7298179860
Quem foi casada com o presidente Chirac?;7860118190;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7973273385;7863900234;7733269489;7745083609;7765556450;7771063799;7918689058;7797798699;7904302138;7833695279;7765576774;7801071883;7770928410;7820048807;7735203555;7823464853;7831520664;7892078290;7808622284;7801111211
De que morreu Bruce Carver?;6910410399;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7007754551;6968523501;6799503910;6967521072;6969686675;6864808838;6800780347;6920604634;6920330207;6954464183;6960055052;6855149180;6892770256;6821189029;6983194430;6936308382;6871533676;6995863460;6987425126;6836313290
Quem pintou Tormenta no Mar da Galileia?;8102072198;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8106500966;7897899797;7949970880;7956308015;8090971687;7963923078;8024881435;7996023237;8074586134;8018345963;8077624863;8105561452;8118292885;8077443835;8022921872;8336552230;8071428809;8110446270;8085322245;8107285896
Em quais cidades o rio Weser passa?;48056246791;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10796656059;10578130202;10726835902;10800402946;10714479431;10620579773;10706552305;10742125805;10698793213;10715526277;10747430460;10750027964;10730618716;10761345093;10736880031;10671030542;10663281580;10659321948;10746424178;10726936761
Quantas cadeiras tem o estádio do Futebol Clube do Porto;25968951228;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8649012361;8629096256;8634754693;8577794576;8684097031;8621663589;8739798974;8755096539;8718614861;8779463406;8785800293;8794682768;8817728376;8784691141;8966601135;8846114036;9127423478;9207436961;9301976181;9259539429
Com quem a filha de Robert Kennedy casou-se?;13887149076;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10954902481;10844763577;11029301100;10918456316;11027251371;10742607594;10855437601;11065915632;10836892188;10834183615;11468840727;11063520985;11114378090;11132912722;11047484155;11032386837;11023675671;11392330265;10964592178;10921436548
Que livros de Kerouac foram publicados pela Viking Press?;37553738165;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9649765092;9510340392;9633674012;9723446436;9812912017;9649336997;9715098596;9579065388;9556391171;9741173272;9791124822;9612260038;9701629148;9741015727;9824284468;9986643291;10045812029;9899470983;10140924425;9930429175
Qual a altura de Amazon Eve?;10495243450;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10235766377;10296803857;10299904386;10338985512;10266889395;10768210773;10238530324;10296631808;10220088604;10271918076;10428478272;10244595315;10314732000;10168482752;10313867772;10743683700;10266170484;10388748080;10236901549;10259481718
Em que museu está exposto O Grito de Munch?;13307174994;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10509622336;10372976261;10475479557;10556969786;10525781902;10571329324;10479647852;10440723236;10486053891;10574572810;10505147290;10656444000;10550772495;10613031754;10677871884;10689782131;10609743426;10654400251;10709491417;10659890730
Quem escreveu o livro Os Pilares da Terra?;10337352595;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10080231897;10237798820;10306722109;10137368075;10215177056;10079011437;10156987159;10206022683;10161289010;10066709789;10193930302;10155987377;10073028970;10308638515;10305688311;10126218734;10056881606;10089589785;10063234464;10156371711
James Bond é casado?;7579756819;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7582308330;7627380338;7569881892;7554559252;7475145868;7552426179;7551526007;7532559530;7598296629;7522550939;7577524154;7654819908;7623366162;7645545327;7558230369;7533347713;7576862624;7564145008;7568924539;7626772258
Quem descobriu Ceres?;8806399678;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8822235906;8956278297;8903642543;8910197757;8940884726;8805666319;8845342921;8758373732;8745147824;8810633183;8858491835;8847816731;8882490033;8886006742;8866126276;8807559721;8904776696;8755964523;8846153293;8951464183
Que rio a Ponte do Brooklyn cruza?;22305416329;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10489511026;10533606554;10376074896;10547131249;10581000691;10597253268;10629706312;10595895893;10570718579;10697455189;10677001859;10599730287;10685459749;10698253628;10669303726;10670058775;10809330037;10692549129;10785727558;10849875212
Quem foi chamado de Frank The Tank?;7725911828;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7644030611;7670965911;7697483648;7657929592;7673344765;7685270072;7791810161;7691960065;7693615638;7705247713;7800151993;7673210874;7621739915;7845272926;7670327301;7737318547;7806138442;7726088099;7756538845;7684297516
Qual é o maior país do mundo;32342336826;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;14579489084;14240753272;15150293903;14947609007;15222779331;15099932005;14148116748;15133223669;14390154022;15233892205;15106637333;15195567478;15096602158;15470619614;14470195442;15275708480;15336772469;15249742151;15366579474;14263907898
Quem é o prefeito de Paris?;27857907611;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;27675275723;27904679557;27983431872;27586165141;27794324601;27342783331;27966412656;27462562575;27584560213;27655016024;27719249538;27708301785;27590437895;27369470628;27807858081;27617324681;27730570268;27953262553;27895203185;27710174141
Quem é o treinador da equipe de hockey no gelo de Ankara?;28134983597;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10620538876;10477996664;10486169871;10648671125;10383569736;10879270895;10628213071;10582172789;10596627470;10799659261;10791787411;10705654126;10855835659;10798455678;10853172867;10792242853;10899135370;10897102312;11120454308;10809660873
Quem é o prefeito da capital da Polinésia Francessa?;24200574171;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;11484502745;11152068191;11644831733;11203767040;11216234730;11202174186;11202162419;11486016203;11208274413;11179077330;11229032884;11230402261;11325116777;11310577888;11233694796;11337444956;11345486194;11392760330;11383703055;11219649085
Que prêmios Douglas Hofstadter ganhou?;7554650069;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7531365839;7430824480;7530545196;7620473661;7458564447;7525780447;7548883979;7499155409;7512649530;7482582506;7408665123;7572387164;7575436151;7388287495;7559746221;7460395185;7504816703;7550929145;7535695164;7662754634
Quanto custou The Lego Movie?;112142540813;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;113340810924;109747095796;110923805970;110031012703;110228532737;111550387366;110578092935;109153342168;110357088900;109577728269;111232520280;70770920824;112155039208;111564877221;109105752912;113158958678;113630864652;110241131492;110263978917;111782667901
Onde começa a Piccadilly?;7402265599;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7242696179;7376005451;7370218916;7280796160;7286675256;7323011016;7339478049;7348785255;7276198719;7385373855;7293785813;7387770115;7263092261;7283667791;7393118567;7320974093;7302058217;7343720504;7341145960;7297452304
O Príncipe Harry e o Príncipe William têm os mesmos pais?;31841127139;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;21471784093;21420304057;21479241973;21323150936;21325767274;21418808432;21637459542;21441700866;21377727939;21346498119;21644925413;21450623670;21338399320;21564980328;21578049969;21648548634;21693672011;21795075943;21799137208;21693037439
Quem interpretou o Agente Smith em Matrix?;9118690336;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8731355756;8690195774;8576073784;8810439056;8735295728;8810681363;8706345221;8672712798;8758565842;8601333052;8823453615;8684209077;8833224400;8851288178;8898300450;8763691249;9007497881;8839529958;9018903478;8864719641
Quantos idiomas são falados no Turquemenistão?;53543915766;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;11638372209;11492610841;11681817824;11666633523;11598801810;11420486264;11627862723;11772685544;11418117938;11605483355;11534252895;11524653090;11676271412;11711440558;11582807805;11552358170;11806954407;11627686625;11617038345;11816015584
Em que filmes Julia Roberts e Richard Gere atuaram?;147139189836;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9330481647;9264956645;9314972490;9175865320;9319715951;9393474231;9313166735;9476624988;9295375267;9199126244;9672331492;9507562004;9420674419;9642083744;9691441949;9668283309;9718286579;9633764147;9699690800;9922381000
Em que país nasce o Ganges?;27637587798;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9820897985;9944509219;10006799781;9914079731;9917029595;10085864205;9842539769;10142035036;10181580358;9961839950;10143838249;10130483312;10049292111;9918613960;9967841704;9914939649;10162458693;10034667758;10178189721;10258257083
Em que ano nasceu Rachel Stevens?;32148139288;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9959627762;9840496570;9840278558;10055433309;9953840103;9961696082;9867268132;9894635084;9778737523;9980580365;10056486307;10080201145;9792947076;9958204919;9963107449;10152081472;9879915952;9816437249;9994083258;9923390938
Barack Obama é um Democrata?;16506633387;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;16901103568;16856813397;17074247241;16864885284;16641408326;16865892281;16609070156;16940660777;17011725765;16954770806;16791893818;16602298752;17134348317;16595964767;16859228494;17077279856;16482806507;16484614073;16801520526;16557490431
Onde nasceu Bach?;7668246899;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7555874755;7464855696;7557621937;7498745557;7522692139;7452105153;7522311154;7462085978;7487808047;7435906431;7493070375;7605105964;7515726583;7581187220;7455887176;7596068655;7543512048;7539310912;7645945193;7539389869
Quantas vezes Jane Fonda se casou?;7108130400;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7068419821;7094500758;7018121480;7020554413;7136687971;7019863911;7157133035;7027314569;7079304082;7166948409;7053220393;7149369850;7080689068;7040441625;7023333591;7063728645;7118138965;7141445424;7054837006;7090375239
Quem foi o primeiro a escalar o Monte Everest?;7482648109;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7261784537;7213335343;7185916245;7252389008;7175860721;7198082090;7221709280;7232786808;7436977183;7187767095;7126130398;7241447685;7149713699;7338173822;7320133895;7201527049;7191745881;7266125929;7214161948;7234852767
Quantas pessoas vivem na Polônia;23953212417;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9573483121;9765238755;9575407423;9717373782;9542409559;9654036311;9619929294;9582882220;9629530055;9664856982;9620354071;9727245812;9497429469;9679953791;9744333480;9662329822;9708131227;9773118070;9779904240;9710010922
Onde fica o Palácio de Westminster?;6869122334;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;6985288311;6846984519;7023778469;6980117977;6864135778;6851707609;6937776679;6973341340;7009223837;6962161735;6879604845;6937228084;6930236603;6992072463;7024524580;6987440760;7031470969;6982911724;7025571874;7022417705
Christian Bale atua em Batman Begins?;7441693353;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7101725259;7058080732;7073420812;7127703458;7082588228;7160293691;7056727615;7122489910;7212314877;7028454589;7085881371;7210539552;7306273029;7313488942;7438711299;7335348561;7494934434;7400632288;7485709174;7379911166
Em que país fica o Lago Limerick?;9620769517;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9675430581;9535292075;9538399332;9552456540;9509561250;9545049877;9564000929;9631688051;9434221377;9548574816;9692396396;9599085986;9639124769;9534784481;9626359230;9560724524;9673386995;9737801310;9485652201;9702974701
Qual foi o último filme de Alec Guinness?;138817412147;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;13235816852;13316177995;13273253642;13314976912;13300923163;13115425669;13286468384;12868905714;13348926267;12752976056;13376065917;13417852254;13310817043;13348546807;13401387608;13599016096;13631267347;13498827200;13964395660;13818876181
Qual a montanha mais alta da Austrália?;11593954423;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;11594095160;11364453462;11465922993;11409517374;11419357516;11512434260;11447875582;11534306277;11369670865;11755077121;11566602211;11566230535;11586456721;11547813374;11568223465;11441602246;11440863828;11676389108;11363215884;11452310164
Frank Herbert ainda vive?;7221799864;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7124784658;7184019573;7154111029;7145010804;7188393210;7148837428;7268549566;7310966902;7189042724;7180364016;7261854950;7185159730;7306748937;7252965401;7193088220;7214356210;7250537966;7273151304;7170757574;7349154830
Quem criou Family Guy?;7869512489;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7699247570;7770192343;7763407523;7854573000;7802179546;7873479037;7821101743;7811201932;7868658501;7801816813;7862619148;7737229257;7787031057;7845465161;7821576601;7871560932;7739229429;7798718434;7853402548;7837270079
Qual a língua oficial do Suriname?;13826930536;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;13059843373;13096642193;13343235265;13129029052;13039513905;13185996722;13355315063;13222601412;13167765607;13176865709;13334693791;13062034961;13322045283;12875840072;13027029064;12986229816;13881680039;13225790818;13477579814;13422225015
Quem escreveu a canção Hotel California?;8212793218;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8198384573;8278225796;8154752575;8275946181;8247959919;8208006955;8216549702;8262252772;8128078052;8407151625;8179225862;8217377235;8265280601;8218668486;8231787310;8132082587;8220006723;8228724522;8202888812;8224415023
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;62763919203;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;11559736165;11403356963;11427245913;11703549893;11503829422;11569978630;11836524994;11649174282;11768281415;11601444654;11560017394;11511587609;11736505502;11659670515;11724102140;11677843954;11554571572;11652523645;11887048213;11901262369
Quais são os ingredientes do biscoito de chocolate?;10604356535;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10470851202;10425499535;10434472005;10507328234;10515111197;10371433844;10483021527;10397928671;10388097439;10400941883;10367449357;10564348548;10499916130;10316324497;11265558801;10413146957;10416247485;10453871949;10371470447;10570538652
Liste todos os skatistas profissionais da Suécia.;7336424704;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7338760910;7287202182;7230308715;7258977568;7356635446;7243245644;7437624642;7323080638;7476949339;7402236512;7345247569;7316078770;7421982229;7293243508;7248925716;7306128865;7324971278;7253251702;7383941080;7308824256
Que ingredientes eu preciso para um bolo de cenoura?;10497111681;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10560510897;10507116279;10569606582;10411092479;10492550918;10486339344;10509063101;10405379183;10503315138;10739032219;10409769257;10427892506;10543115854;10378371007;10513749010;10513341993;10493149217;10553476032;10382048845;10571386964
O Neymar joga no Real Madrid?;8532391349;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8009203567;8039415572;8045330282;8003476601;7994895938;8091316078;8159954622;8040089034;8154115702;8031906494;8232702397;8182133781;8180990588;8318851837;8319429162;8339189241;8292681236;8342009395;8399007195;8352417055
Que cientista da computação ganhou um Oscar?;144165091047;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;37773324791;38303692040;38200369628;38289798279;37876478588;38632414456;38384560478;38785273327;38771635574;38101966231;37723923678;38302778933;38271494385;39374482286;38235123836;38083002676;38275364955;38620036729;38466135494;38230750363
Quantas empresas foram fundadas no mesmo ano que o Google?;57707828845;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;15365263720;15066776504;15284988376;15166045965;15048496549;15253334071;15367785922;15272051352;15280309844;15118217162;15367793961;15055183019;15398781237;15432059698;15342893076;15625685588;15364820758;15484562515;15706737093;15656820388
Em que cidade da Inglaterra está a sede do MI6?;59295068334;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;11832209069;11486307264;11557788969;11687559991;11539735301;11521390499;11611141620;11539288614;11700822302;11563312460;11753792136;11599820071;11663110690;11649256079;11851657291;11910740181;11931227566;11947353901;12107880352;12004744072
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;121523777992;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;79861764639;119185310422;78695718076;77879908529;79173122369;78084352543;78355110273;78562254010;78607116930;77412960519;78235270522;79148425492;118552917456;78434919326;77869720289;78910865194;78342358173;79880432034;79503831590;80024233630
Qual o significado de IYCM?;28742038779;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;28696801881;28421751419;28436690801;28466034050;28326013485;28856317864;29036451322;28960646005;28435547994;28252882780;28722059063;28675456158;28766484462;28262288455;28296470613;28740124607;28517398699;28501255444;29320444986;28709869408
Quando a Dinastia Ming acabou?;7566482172;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7061869966;7210644753;7271593995;7070230487;7262802196;7124902308;7132315138;7165177624;7214581710;7220862497;7203945677;7312010065;7141981472;7130436945;7096801182;7073119641;7171313781;7290817523;7144077484;7182971414
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;20331585488;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;12291652322;12379978552;12149449175;12388096136;12122011339;12808478369;12462440136;12241305511;12252843476;12249704400;12625079297;12138367196;12359301790;12492856407;12705032539;12620700321;12732461359;12672102979;12718090865;13009949836
Qual é a população total de Melbourne, Florida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Arnold Schwarzenegger frequentou uma universidade?;21135280030;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8683910883;8760077024;8903325692;8837640149;8862567520;8820635891;8843953331;8763807834;8960232417;8910567363;8953317408;8882017911;8873831465;8883138477;8943639714;8953488826;9207324868;9199954570;9169554462;9144673274
Em que país está o Monte Everest?;11125912714;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9659629316;9526226174;9614047815;9752935785;9705487156;9650921949;9626949052;9767959794;9631181801;9665528587;9681945516;9555558023;9680464492;9665160308;9582600733;9620867548;9662204228;9678181188;9655537143;9659399033
Qual é a maior cidade da Austrália?;61129805571;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;13427082653;13262923525;14014419517;13591451732;13353045836;13950139063;13934177071;14110606815;13194009702;13987352768;13675675926;13301725885;13477918931;14110597747;13567367218;14100637737;13767413141;13605325481;13779704524;14354689322
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;53704209607;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;48130685975;48261814463;47927261537;48418862146;47599943768;47989522833;50389634197;48214807748;48489444611;47896864454;47687906361;48383786886;47729459649;47745286332;48070821022;47795826379;48150176573;47582779550;48390024053;49364106352
Quem é o prefeito de Tel Aviv?;24287648889;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;23743549110;23701801489;24008251751;23890013055;23860556881;23687139158;23702645379;23903972362;23952467167;24171218146;23797017596;23665355790;23725647821;23924315523;23728650082;23795910001;23741278108;23970425145;24984466689;24009700048
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;20375399984;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;12706441543;12194249272;12183783713;12706074308;12349427347;12492304349;12371859960;12478788555;12440200332;12318732023;12341932179;12279932121;12286713503;12258006495;12955817788;12603679454;12963244911;12424768749;13017883858;12600027007
Quem criou Batman?;15425623755;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;12272464303;12211616850;12464072374;12263303735;12020280656;12248869183;12385889862;12265775978;12194271296;12121419920;12172103185;12097643648;12380830233;12556541687;12353080460;12254648389;12293428753;12028679905;12104604782;12289513482
Quem interpretou Gus Fring em Breaking Bad?;7514128745;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7062734195;6941898162;7087588346;7118766124;7125129789;6974957177;7071495162;7175705141;7141082050;7189542659;7209381294;7289073037;7321526093;7245698256;7402810900;7360153506;7268114101;7301336228;7296355390;7339236643
Em que linguagem de programação foi escrito o GIMP?;10588034144;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8005455956;7917257991;8068475385;8003423764;8063351310;8067870435;8097330449;8004664131;8123592837;8143518589;8093149198;7991138020;8097160378;8184582832;8162053651;8230926135;8259302535;8111794633;8215039054;8223432476
Em que império antigo você poderia pagar com grãos de cacau?;13513805579;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9360428330;9178328284;9206544565;9162264590;9176274574;9340999954;9260039250;9181520475;9236218932;9276308988;9242218689;9164893346;9279941183;9226157319;9266191520;9315445699;9191204130;9262059691;9256483261;9204095183
Quem é o editor da Forbes?;38232178870;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;32946983738;32651839296;32767635687;34920203596;33121333601;32605735562;32581658536;32594494375;33055653391;25117033593;32845593560;32977113651;32912999092;33089389607;32687006141;32771618980;32712706629;32695949247;32899540519;32873877181
Quantos habitantes tem a capital da Austrália?;30430921459;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;13284487810;13607125736;13349941384;13227235759;13389790886;13295475614;13328895634;13316358378;13552136776;13304840601;13442428918;13270848764;13552457945;13420170267;13515844172;13431720584;13593943702;13703125059;13554064737;13636320170
Quais surfistas profissionais nasceram na Austrália?;12641302786;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10595707833;10025897072;10509336633;10189138777;10117731183;10529641853;10648386616;10633501572;10558700021;10421071845;10555908452;10519110593;10569841695;10692391607;10748078858;10732138732;10779481888;10718881412;10782232976;10852950818
Que companhias de eletrônica foram fundadas em Beijing?;57122190039;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;18961238971;19317330126;18777875509;19232618989;19366559533;19019520536;19291064862;19156854293;19438368212;18907632474;19640739023;19243461415;19768428366;19629419541;19707072270;19466336358;19345982234;19853465719;19934297577;20025258280
Mostre todos os jogos da Mean Hamster Software.;13900404550;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9556482481;9525376667;9670639296;9653311904;9677838895;9701710175;9658953541;9602992357;9576640012;9761954726;9603939058;9650807408;9669963105;9706594292;9737373872;9667309819;9598713821;9551110422;9648363931;9621233620
Quantas lojas Aldi existem?;7535957403;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7228007848;7351692464;7359410932;7224470364;7316741536;7340744100;7373416488;7453311547;7236437388;7384295994;7336805938;7370750560;7322867185;7357650084;7373691884;7279196815;7201666424;7388386227;7320536179;7320738130
Qual a capital de Camarões?;11548706722;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10895697595;10987036132;10995449283;11017966930;11090409734;11049331348;10994106402;11072082562;11048878256;11083536828;11388058952;11425964183;10946318338;11606551823;11143208990;10963927257;11049175040;11473024162;11000152739;11336812085
Há algum jogo eletrônico chamado Battle Chess?;9933335108;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9771560905;9777433096;9892627676;9718389845;9657527068;9780847369;9732783063;9912526370;9863891077;9733270914;9725805949;9816323875;9908467422;9955958375;9830919033;9860289602;9768983125;9864194890;9822695386;9767056786
A esposa do Presidente Lincoln chamava-se Mary?;59148510444;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;38691323001;38473079357;39002851686;39076795590;39083506741;38759704670;38542390422;38660456641;38657333583;38916007775;39295139114;38916099866;39001606448;38464969909;38770974096;39214154639;39017789112;38948968847;39039752894;38905252460
Encontre todos os filmes dirigidos por Francis Ford Coppola.;151536149428;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;27193101538;27645065461;27509829247;27241966939;27306078849;27505280348;27623276549;27240339243;27533200708;27449571346;27461404937;27401453930;27369968783;27569518322;27614063393;27490065311;27675950664;27549674198;27375641719;27586970095
Qual filme de Tim Burton teve o maior orçamento?;146908398997;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9017569769;9090230343;9349711718;9506707176;9136844189;9270427262;9256689562;9078904870;9107090664;9066567377;9329314922;9218369857;9283824549;9409345633;9328664676;9446390783;9453349758;9380805253;9239547055;9316637158
