;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
Que rio a Ponte do Brooklyn cruza?;12876859398;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1185692591;1165441700;1190535524;1178711602;1224900711;1256001588;1225353966;1229390610;1254956302;1268792771;1246066731;1261936485;1287781097;1297464174;1356749186;1380981344;1425802456;1416778977;1449413942;1506355440
Quem foi chamado de Frank The Tank?;1026513725;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;990475390;1005722763;1000252440;988556129;1061077907;1058430083;1025714196;971875485;1032102563;1006060530;991387505;1004517282;989643420;1042113674;998956949;1044687252;1076520402;1048136371;1065688126;1049292702
Qual é o maior país do mundo;21558871497;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3851371281;3782134515;4547082912;4374204091;4453717914;4477739135;3625911026;4422945961;3895960330;4513684329;4474767707;4647546021;4653560334;4458167562;3777660099;4617350316;4602916077;4670103873;4709527484;3872742418
Quem é o prefeito de Paris?;16832775752;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;16732073192;16844275050;16921415034;16594917466;16547426716;16423722070;16873913839;16524346495;16646244012;16748221861;16622045475;16722408238;16663234971;16382301837;16703757768;16592422368;16662263377;16897045372;16938030713;16815724262
Quem é o treinador da equipe de hockey no gelo de Ankara?;19765998610;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2075631322;2108553230;2262142052;2092059398;1987204292;2358659833;2161971997;2094518977;2204935747;2163243404;2247165342;2352118809;2283695011;2323254850;2369832321;2309502043;2360603777;2297199115;2544527438;2353463522
Quem é o prefeito da capital da Polinésia Francessa?;15799095130;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3232252484;2851798566;3303774998;2868790065;2893394299;2885940225;2833127608;3126241611;2915415504;2882760585;2929203324;2920858453;2975597582;2900680775;2924948692;2980774862;2956038700;3015187393;3061360862;3000965381
Que prêmios Douglas Hofstadter ganhou?;825732732;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;744628114;730180069;758536848;828155109;764998596;778730917;824843634;737039827;768859641;775129725;775270155;769909716;775792597;777168744;764352217;779654101;757305586;796117627;765110620;818756516
Quanto custou The Lego Movie?;97216407448;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;98598069218;95060389764;96245065980;95297155613;95541626185;96671499591;95818543963;94362607219;95576431238;94954661953;96412366545;56131233768;97367676361;96701467388;94479380944;98337485605;98873763101;95688016609;95519486382;97079947250
Onde começa a Piccadilly?;978520521;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;905558711;988781792;945602778;937800097;931314371;958175190;923543811;949147801;918447827;935893211;984329887;946159810;964910105;977793087;930530759;952042518;960751875;972507803;957513405;972192498
O Príncipe Harry e o Príncipe William têm os mesmos pais?;13681049186;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3295009103;3324126486;3326150106;3262153599;3347386979;3261351380;3292737246;3401260588;3259066668;3326108952;3355561992;3319242952;3350932048;3353382665;3427809555;3396103380;3473345330;3472887933;3561160142;3494661899
Quem interpretou o Agente Smith em Matrix?;2167810119;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1839922545;1855116563;1862150980;1850327646;1898120326;1905550731;1872333033;1875497977;1954687805;1838550136;1988674244;1896977004;1988292035;2033937474;1963768878;1935665551;2127579872;2078213233;2117459510;1997024213
Quantos idiomas são falados no Turquemenistão?;44175565891;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2305299223;2290327762;2367124299;2315355252;2335179914;2296502331;2356448063;2344358506;2306656701;2344636671;2362452276;2346537859;2368868865;2368862308;2458690444;2331615292;2423736439;2458264560;2374590867;2422103208
Em que filmes Julia Roberts e Richard Gere atuaram?;138902959382;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1239730294;1213409416;1153527843;1175233105;1212421302;1221384211;1180459142;1281595243;1189992676;1210005455;1285995245;1270761662;1316636216;1301921852;1430197002;1333774158;1421718146;1481701788;1465188235;1573802741
Em que país nasce o Ganges?;18389385531;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1353425926;1424418480;1420555921;1410967512;1426400308;1409753471;1434044730;1499740798;1469692145;1486176112;1508170752;1465818436;1481276888;1510872582;1521208625;1453124341;1527618278;1536313522;1527621724;1555420704
Em que ano nasceu Rachel Stevens?;23637979703;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1408129200;1406780348;1461124441;1483373296;1488460149;1478145395;1436693697;1460671075;1493167459;1502158127;1502821188;1507192999;1471600767;1493066846;1490830822;1561219506;1519846054;1541086323;1596173917;1581291013
Barack Obama é um Democrata?;8001428729;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8334922630;8411497451;8578337381;8235922211;8127381177;8412805976;8212800083;8388469814;8527830684;8538119211;8285911890;8158436930;8654045261;8098690214;8284641126;8573125042;8025141022;8106117781;8360460565;8013312350
Onde nasceu Bach?;953607247;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;941431142;910410354;983223111;897703984;909112365;878042151;961488928;911403493;915384141;904254612;946073883;907670857;938480637;999323092;911639109;986229347;913481557;918975635;912395636;918826725
Quantas vezes Jane Fonda se casou?;882976114;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;839795689;851161991;850587826;813611892;852500567;856538138;836136432;839747844;885403490;827745559;844816374;848608469;822622656;838193502;823184430;841978509;889495019;824021021;866490314;881214839
Quem foi o primeiro a escalar o Monte Everest?;816781932;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;787718842;774486814;789644452;756428180;812461987;796813055;789252275;792447817;776828082;790883311;771186045;758574843;777362109;800622355;830305488;813216336;786260960;823520241;775848473;791479212
Quantas pessoas vivem na Polônia;15748896319;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1420262584;1487524170;1412698636;1428474051;1388206718;1441622184;1471229411;1409722951;1452308625;1448926910;1407956694;1440687044;1488692586;1517725093;1584187581;1463364783;1497745315;1517943662;1582984235;1580500993
Onde fica o Palácio de Westminster?;785021408;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;791961784;762048371;784988400;745494352;752689816;780110659;733343318;739809647;743797478;777265105;808462625;704631589;762777055;750893794;775882284;762181626;786759128;783304122;813565930;776003767
Christian Bale atua em Batman Begins?;1168837927;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;837891617;864228214;862527752;846174497;863005621;879493447;864149224;874933281;926111395;886832934;936982630;987377028;1030066975;1024048103;1192763020;1124123824;1182058621;1166344396;1147680794;1145045178
Em que país fica o Lago Limerick?;1378821330;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1347241478;1345106265;1375371027;1322113255;1366329314;1385409668;1364936889;1378514110;1362930778;1409760359;1366393943;1392268342;1330836692;1365774892;1394748297;1363823631;1378802604;1326095906;1303511294;1392129291
Qual foi o último filme de Alec Guinness?;129468905455;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;4088105104;4084506734;4132000165;4159087378;4128609033;4056188499;4085393347;3581250052;4160535021;3560328821;4133495613;4237610447;4081681371;4136755641;4176721853;4412899232;4354365653;4290414657;4611098756;4586029926
Qual a montanha mais alta da Austrália?;3465622207;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3468131505;3372820015;3495716665;3366554277;3404279319;3475258767;3359362504;3471867491;3368765839;3608698616;3417284807;3404522002;3486344823;3441901791;3476599168;3380072908;3429408920;3552806188;3341092492;3443750515
Frank Herbert ainda vive?;791708858;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;783583056;784253913;777745818;772748028;782080226;771366670;797114695;792116978;759230264;786835048;857649994;806412724;800739846;781338735;798175967;777496721;812013019;845519536;775160373;766990864
Quem criou Family Guy?;1056011574;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1039514611;1057018381;1005684652;1045500547;1011755677;1044833183;1048571217;1053718260;1073153949;1062104621;1052243495;1055344702;1056576353;1073387447;1055982431;1093664664;1042491706;1036709981;1040708674;1065023579
Qual a língua oficial do Suriname?;4776434426;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;4073652998;4148149794;4372777546;4090327961;4025885946;4062924910;4234702198;4086392390;4296359476;4126877341;4118250237;4076566210;4373810154;4012872787;4093125654;4132288383;4763329009;4339340797;4551160425;4330926238
Quem escreveu a canção Hotel California?;1047587536;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1004161440;1003217035;1055434419;1012151372;1050807682;969911072;978592895;991898088;971594515;1011986744;993445477;1010826467;981059647;1013156492;1014706626;980765346;995426863;1010803918;1022000936;991063478
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;52781272506;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1436562656;1372210192;1435040631;1461272458;1445256451;1415107735;1461233913;1491903204;1465185141;1584049004;1506246731;1552367117;1549718495;1507425671;1543120313;1543422447;1612527976;1636350860;1731233909;1708234661
Quais são os ingredientes do biscoito de chocolate?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os skatistas profissionais da Suécia.;1023874915;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;997988702;1017476464;991732465;1005311465;995998573;966581014;1024522672;1038515398;1016734440;1003130225;995104364;984950079;1049768186;961448483;990899767;999636078;999121080;1002342973;984114361;996937402
Que ingredientes eu preciso para um bolo de cenoura?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Neymar joga no Real Madrid?;1807218207;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1504045208;1463660433;1462311342;1416849765;1480532794;1514592785;1502038362;1471072967;1572837427;1498421943;1616906296;1648705897;1659930908;1637235582;1699025106;1736588530;1781740011;1733035090;1725217002;1756281010
Que cientista da computação ganhou um Oscar?;131651798117;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;25285724059;25922515889;25692792992;25868785382;25448879076;25977353314;25834464698;25878730440;26220649236;25647319651;25508547847;25885556402;25857085155;26650586313;25680647097;25614219295;25735278137;26203699513;26059943591;25748726768
Quantas empresas foram fundadas no mesmo ano que o Google?;47340807471;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;5067110947;4937873427;4999451570;4903919962;4902929866;4925803173;4998325720;4910565480;4903877088;5018105332;4950739575;4954239786;5004785679;5074445812;5048712677;5179437488;5149335218;5228926886;5481014663;5352729670
Em que cidade da Inglaterra está a sede do MI6?;49348839555;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2077956938;1968992415;1955624212;2004835969;1938004527;1989129755;1968132526;1937986081;2017316667;1997090158;2002736553;2051696438;2052777300;1996103328;2208774379;2121870706;2217943172;2130589303;2315705541;2314551009
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;98101143310;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;57362949831;96565085186;56148708011;55302850368;56376744086;55556780155;55216901601;55694928890;55454411475;54787609189;55007462849;56339169891;95918262730;55229771597;55267550272;56311809871;55500365921;57103648663;56453560566;57397494356
Qual o significado de IYCM?;18473533304;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;18385083895;18203562419;18137086737;18308638652;18129866377;18520274503;18630382621;18747619375;18283728184;18081724065;18135984098;18383699173;18457890641;18061508728;18074066150;18505327185;18258695914;18221439698;19113009308;18449781185
Quando a Dinastia Ming acabou?;852120067;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;790489598;820082742;819349781;809518329;816033401;842112963;791035532;838312010;826227390;830566588;808789856;838060903;816546535;827241463;828482787;807681684;818472625;844809303;822476405;854163247
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;11251674665;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3207433193;3255395792;3181481169;3125961418;3127664259;3577130117;3285893643;3211341592;3155292386;3218363557;3476980539;3155429045;3239974057;3300975742;3721942839;3388608346;3428855923;3433623454;3528412604;3812700843
Qual é a população total de Melbourne, Florida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Arnold Schwarzenegger frequentou uma universidade?;11408338652;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1523387772;1540083970;1563077277;1516895450;1597990546;1583613444;1540135906;1566035095;1666823669;1620351172;1656602875;1615964835;1697609577;1691733921;1680229812;1705446090;1870110674;1902181699;1925899063;1902227626
Em que país está o Monte Everest?;1395258828;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1333458844;1326295125;1343138580;1348469459;1355894308;1339498332;1400114754;1353940963;1304222932;1345727287;1342753661;1356525910;1358688242;1358628910;1358658387;1366825697;1371499751;1338695528;1370620378;1365536007
Qual é a maior cidade da Austrália?;51201543415;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3473024476;3333661250;4023595000;3530905288;3347389837;3921146685;3973044813;4067192983;3307494144;4068461756;3634770460;3459718417;3464878063;4101533524;3495684333;4053307076;3712277880;3575597621;3803803388;4276022651
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;31458481364;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;34926940937;34835213931;34561160675;34942567753;34289701912;34592015467;36772583629;34945029951;34876269184;34350737739;34124895980;34709066967;34265969582;34320127587;34528454182;34513899077;34600111369;34348920698;35038651726;36114066589
Quem é o prefeito de Tel Aviv?;13876545453;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;13631687061;13696310568;13881142368;13876853788;13764789007;13608887501;13618648507;13874286850;13746843866;14173654692;13576327457;13574563757;13768569627;13855372902;13677130111;13730098533;13635443810;13897111116;14821251226;13905552681
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;11165926485;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3512848114;3163084487;3189813830;3517608902;3220152907;3226607304;3267864475;3200944575;3275464988;3253180557;3232951359;3239242800;3265241907;3272186718;3680855385;3414635510;3741107424;3400936822;3849198192;3458208636
Quem criou Batman?;4012960723;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3863257826;3790649521;3982535533;3821163243;3697613038;3704671708;3855866522;3809738531;3730311803;3744638249;3806224100;3706562562;3989726196;4094029872;3888595919;3916499182;3769716497;3748857587;3725878115;3908035754
Quem interpretou Gus Fring em Breaking Bad?;1138222558;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;866903888;847267619;894356265;888432605;896543128;867393112;911849252;926543633;922006442;916404718;1019383686;1045791008;1077487934;1093596296;1087216816;1105999321;1099210438;1113336318;1100213503;1170575957
Em que linguagem de programação foi escrito o GIMP?;2545430034;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1135734523;1139421118;1170109310;1160544540;1214611200;1184747402;1160029811;1163264278;1203594639;1179974662;1194748290;1195929753;1242370931;1194316715;1231825485;1288008337;1264439295;1275201261;1300234153;1310511693
Em que império antigo você poderia pagar com grãos de cacau?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o editor da Forbes?;23013136380;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;21745384975;21398408182;21579056046;23767014947;21692184248;21436988495;21319578882;21448678008;21878068086;13979868463;21592482010;21859333110;21618386872;21731273234;21578504036;21595163845;21461990303;21439806338;21508229801;21573278780
Quantos habitantes tem a capital da Austrália?;21258785441;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;4442751823;4725443627;4445673873;4345239155;4394721758;4389839224;4403538309;4431509251;4555399047;4364290516;4472597627;4380744028;4608904375;4479736961;4402108424;4497656203;4634177896;4728735455;4561198536;4622609033
Quais surfistas profissionais nasceram na Austrália?;5083332621;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3120123843;2569853527;3016108096;2661984188;2645126555;3014242384;3050528597;3045347554;3106158971;2983768922;3058359556;3091523103;3098042437;3048152362;3145438126;3200676188;3265029182;3262588803;3331875091;3346791644
Que companhias de eletrônica foram fundadas em Beijing?;40929087392;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;7309573047;7587953484;7212574128;7448519685;7525855603;7392085719;7458580442;7390403271;7494751410;7356006965;7667580137;7637189490;7734658749;7622011038;7689155985;7551692216;7553191964;7906417920;7982554694;7990476858
Mostre todos os jogos da Mean Hamster Software.;1547850649;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1509415734;1464157990;1498875572;1549356438;1529871214;1551918598;1533908356;1500984320;1472779553;1515040233;1524222709;1562830481;1501811743;1551198869;1541383913;1478826214;1533865394;1489268189;1507482784;1560335517
Quantas lojas Aldi existem?;824258960;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;793339236;815366824;818858930;814223311;803263822;823456296;816056696;839280087;794104500;812803551;819729701;814194539;833324759;815583047;797163374;795232840;783850224;811452123;806004239;805295318
Qual a capital de Camarões?;3047981638;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2787436973;2829151637;2788864389;2850314075;2912461422;2869153001;2849496098;2908570513;2884958167;2894745371;3216357301;3281732641;2830825763;3291820131;2863165025;2843849418;2921919318;3299819611;2857795695;3096471073
Há algum jogo eletrônico chamado Battle Chess?;1601748323;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1554099117;1607066923;1642211560;1560205300;1542096706;1562345780;1584806037;1582543416;1586658953;1502289599;1614788311;1557490968;1639506517;1582537893;1593720743;1538767528;1545417007;1587461991;1588201125;1567912489
A esposa do Presidente Lincoln chamava-se Mary?;40952441050;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;25601191572;25523573135;25753701246;25937059173;25854401164;25728468384;25544888759;25583825175;25684432970;26028403067;26381329941;25575499794;25896882939;25444932636;25679905326;25940535564;25753301649;26016021098;25823356080;25911922310
Encontre todos os filmes dirigidos por Francis Ford Coppola.;134282696893;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;14372563337;14945895262;14873652596;14548697964;14635702144;14802165625;14872917850;14469851102;14836866305;14655028270;14551603689;14630743590;14727509403;14782666536;14850915860;14843154131;14834356876;14823072744;14712936878;14800233149
Qual filme de Tim Burton teve o maior orçamento?;137881930873;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1237471113;1224423658;1245405140;1320895968;1285732681;1308124978;1336731261;1325194136;1332816249;1285993759;1377336883;1385916190;1343655693;1355921281;1462932865;1410438472;1462555692;1424740466;1491089495;1473266855
Breaking Bad tem mais episódios do que Game of Thrones?;2467699083;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1970600929;1984573263;1995564085;2004693918;2010221940;1991024644;2018224021;2018803158;2085528375;2040262110;2105054368;2068833030;2127346343;2112560971;2233083974;2304122196;2273445314;2274659333;2279893226;2295825410
Quem era chamado de Rodzilla?;978961049;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;983274243;1093609961;1041781902;1002531618;994910594;976901618;1003375799;1081559659;974100152;1027248182;1000046472;1007379924;1037171692;982194886;1068867203;1093957545;1012213174;989197425;1021308021;1042023733
Natalie Portman nasceu nos Estados Unidos?;13026780560;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1224903544;1218513792;1253142238;1206449801;1215592672;1235300177;1282622456;1219964699;1249651351;1278634932;1285736733;1258852103;1265927885;1311561464;1382468959;1357938828;1498140147;1505395420;1621781210;1653873880
