;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
Em que país fica o Lago Limerick?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual foi o último filme de Alec Guinness?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;49;49;74;74;98;98;148;148;198;198;298;298;398;398;498;498
Qual a montanha mais alta da Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Frank Herbert ainda vive?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem criou Family Guy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a língua oficial do Suriname?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem escreveu a canção Hotel California?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;39614;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;49;49;74;74;98;98;148;148;198;198;298;298;398;398;498;498
Quais são os ingredientes do biscoito de chocolate?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os skatistas profissionais da Suécia.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que ingredientes eu preciso para um bolo de cenoura?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Neymar joga no Real Madrid?;975;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;9;29;29;49;49;74;74;99;99;149;149;198;198;298;298;398;398;498;498
Que cientista da computação ganhou um Oscar?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;27;27;47;47;70;70;94;94;143;143;193;193;292;292;392;392;490;490
Quantas empresas foram fundadas no mesmo ano que o Google?;35496;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;199;199;299;299;399;399;499;499
Em que cidade da Inglaterra está a sede do MI6?;40930;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;10015;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;48;48;71;71;94;94;143;143;186;186;282;282;375;375;469;469
Qual o significado de IYCM?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando a Dinastia Ming acabou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;24660;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;98;98;148;148;198;198;296;296;396;396;496;496
Qual é a população total de Melbourne, Florida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Arnold Schwarzenegger frequentou uma universidade?;12398;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;396;396;496;496
Em que país está o Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual é a maior cidade da Austrália?;39755;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;29542;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;197;197;297;297;397;397;497;497
Quem é o prefeito de Tel Aviv?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;24660;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;98;98;148;148;198;198;296;296;396;396;496;496
Quem criou Batman?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem interpretou Gus Fring em Breaking Bad?;1020;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;299;299;399;399;499;499
Em que linguagem de programação foi escrito o GIMP?;10558;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;49;49;73;73;97;97;147;147;197;197;297;297;397;397;497;497
Em que império antigo você poderia pagar com grãos de cacau?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o editor da Forbes?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos habitantes tem a capital da Austrália?;23014;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quais surfistas profissionais nasceram na Austrália?;7387;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Que companhias de eletrônica foram fundadas em Beijing?;38416;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Mostre todos os jogos da Mean Hamster Software.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas lojas Aldi existem?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a capital de Camarões?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Há algum jogo eletrônico chamado Battle Chess?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
A esposa do Presidente Lincoln chamava-se Mary?;39185;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;395;395;495;495
Encontre todos os filmes dirigidos por Francis Ford Coppola.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;498;498
Qual filme de Tim Burton teve o maior orçamento?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;74;74;99;99;148;148;198;198;298;298;398;398;498;498
Breaking Bad tem mais episódios do que Game of Thrones?;2394;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quem era chamado de Rodzilla?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Natalie Portman nasceu nos Estados Unidos?;19217;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Mostre os netos de Elvis Presley.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;99;99;148;148;198;198;296;296;396;396;496;496
Quando morreu o criador de Drácula?;21149;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;198;198;298;298;397;397;497;497
De que país vem o criador de Miffy?;28399;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Qual é o nome verdadeiro do Batman?;33659;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;499;499
Que forma de governo a Rússia possui?;22168;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quantas companhias foram fundadas pelo fundador do Facebook?;33581;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;198;198;298;298;398;398;498;498
Liste todas as gravadoras canadenses de música Grunge.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos filhos Benjamim Franklin teve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste os filhos de Margaret Thatcher.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que região é o Melon de Bourgogne?;38042;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Qual é o filho mais velho de Meryl Streep?;30241;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;99;99;149;149;199;199;298;298;397;397;497;497
As rãs arborícolas são um tipo de anfíbio?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Christian Bale atua em Velvet Goldmine?;408;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;73;73;98;98;148;148;196;196;296;296;396;396;404;404
Liste todos os jogos da GMT.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Isar desemboca em um lago?;11906;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;9;29;29;48;48;73;73;98;98;148;148;198;198;298;298;398;398;497;497
Que aeroportos a Yeti Airlines serve?;17433;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;74;74;99;99;148;148;191;191;291;291;389;389;489;489
Que empresa indiana tem o maior número de empregados?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que cor expressa a lealdade?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a cidade com maior população?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem criou a Wikipedia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Rita Wilson é a esposa de Tom Hanks?;19602;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;99;99;149;149;198;198;298;298;398;398;498;498
A esposa do presidente Obama chama-se Michelle?;29703;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;199;199;298;298;398;398;498;498
Quantos grupos étnicos vivem na Eslovênia?;29986;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quem é o presidente da Eritrea?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que filmes Stanley Kubrick dirigiu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando o Titanic foi completado?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas páginas tem Guerra e Paz?;21719;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quem é o jogador mais jovem da Premier League?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a montanha mais alta da Itália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a altura de Claudia Schiffer?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi o vice presidente de John F. Kennedy?;21764;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;198;198;298;298;398;398;498;498
Que subsidiária da Lufthansa atende Dortmund e Berlin?;9672;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quem foi o sucessor de John F. Kennedy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem compôs a trilha sonora do Titanic de Cameron?;20988;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;9;28;28;47;47;71;71;96;96;146;146;196;196;296;296;396;396;495;495
Quais filmes Kurosawa dirigiu?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Para qual gravadora Elvis gravou seu primeiro álbum?;28633;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Em que fuso horário está Roma?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
