;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
Quem é o treinador da equipe de hockey no gelo de Ankara?;16610588933;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;229335644;220920006;248331940;268332154;250990570;290817654;302967970;300819696;317656786;299434570;334359881;397827039;389814884;391348095;458895232;467485997;485449937;460350555;530767217;439699699
Quem é o prefeito da capital da Polinésia Francessa?;12083816712;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;256690558;227931358;272733024;256383928;259306486;265799241;239390041;251213960;304032840;274543764;295041276;291682780;316332604;280154304;309869363;312932702;366036821;381012056;374416260;378195955
Que prêmios Douglas Hofstadter ganhou?;66618946;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;69153358;64401493;70050366;90461471;76640147;71538018;82214917;60182754;80665888;80306623;74077092;84871433;74066971;90558137;69819247;69115859;73082717;82319547;87727695;81690791
Quanto custou The Lego Movie?;1216707617;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;192340515;182552013;203377016;210313786;218247714;223110724;231726258;238662608;234060953;257275063;283492049;298670584;276832828;316295414;314214614;337498149;321426228;313461536;345061488;333274080
Onde começa a Piccadilly?;53825325;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;54266150;65949689;59449082;55508569;73263093;64802115;55101260;59133696;64440463;60118117;61468546;64633550;75924014;70780844;64290456;66055911;71351199;67937179;62252152;56384683
O Príncipe Harry e o Príncipe William têm os mesmos pais?;9840406276;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;267044627;267538515;277532744;271457118;293527485;268510244;277421578;300890419;286924607;280830200;312837616;323766964;354153206;340786014;402500315;404304697;452208043;470046583;483535085;500896413
Quem interpretou o Agente Smith em Matrix?;421879174;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;104788116;95811253;113614209;106947198;123918358;138424400;132051211;131759377;147817464;164215926;183557493;185144271;244557577;253589609;275955669;271563770;294493969;318928583;298881841;287539808
Quantos idiomas são falados no Turquemenistão?;35149976892;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;262590162;284607965;284244982;271989802;282016904;287094009;272120927;285363773;274676126;303295169;294994233;296688173;307666372;295736378;368481215;332650402;386034534;326996675;308380420;374188018
Em que filmes Julia Roberts e Richard Gere atuaram?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;218879927;234466655;237394296;258693605;229322953;242101412;263320156;264302304;273957528;287193690;319652037;310971788;361367638;334578019;461894448;386785075;486117545;529955834;446803207;533292705
Em que país nasce o Ganges?;15869239248;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;263762201;261926653;287448281;280590329;284373517;269742476;278497381;296459572;327415020;316677116;322301543;331723198;332653524;332222580;373529143;336173306;397874576;394187854;378634772;394749530
Em que ano nasceu Rachel Stevens?;21109940326;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;231537492;231322817;254278674;265515137;247145247;265229618;271517716;261697746;320856635;306665948;307382782;322330622;308102730;331353165;351462883;387611326;357104238;360187651;384273902;398787416
Barack Obama é um Democrata?;112602557;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;132148047;117135056;126809162;120129556;132886775;132629634;130622626;139510323;129886416;130588207;121116350;121457377;128932197;131361026;130825148;138688991;131130728;140452734;135688640;130828152
Onde nasceu Bach?;107320311;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;140621665;120100447;122310128;115629366;118551744;127528807;116838297;108806007;112600957;122850283;120116051;124793307;118072842;117019285;121139335;115058403;130087654;126350540;117760639;114694909
Quantas vezes Jane Fonda se casou?;81583929;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;95395931;93979861;89375862;89810052;95096885;97551418;94084523;95675890;89250579;99659669;92380836;104840189;89555600;90320721;91960053;103213961;104325620;95587416;109275220;88498169
Quem foi o primeiro a escalar o Monte Everest?;64051325;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;70954558;76545409;75282293;73487012;79571630;92541330;80032655;79802317;81265487;78073423;75277091;67411248;74988662;73457127;91300341;80488165;75258808;71275391;87456173;84597448
Quantas pessoas vivem na Polônia;13137187089;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;225711903;221238021;219290793;222802542;242599997;232484791;234415710;243723946;257035085;236317116;247291977;245772212;269358924;258053703;296113188;282468536;314614078;284436968;285372481;379827241
Onde fica o Palácio de Westminster?;36910644;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;73308878;70139008;70678631;60079963;73314350;73982267;67966209;44922634;65707676;67683880;73959329;59528586;48725521;67719965;73454668;75621543;67699068;53392484;69143319;73917358
Christian Bale atua em Batman Begins?;364642112;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;92699909;94847231;115640538;109223814;120051098;126281031;139911797;147472511;184868147;154506888;195223581;205953485;274093142;254764981;362421189;382865056;383008208;408813831;374985569;380970190
Em que país fica o Lago Limerick?;214358964;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;242750935;227513318;240360370;229674967;219315720;228522507;242578045;217732991;231003470;241057709;250162193;226248878;243232779;225268220;237986677;231067508;238827075;229351253;234811938;240210798
Qual foi o último filme de Alec Guinness?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;367023034;364349212;376372835;393344709;360026644;375266640;416120371;400572476;427519855;418094462;406107681;440442942;375455873;435925949;499358159;609151594;606644282;593119871;818359644;816500384
Qual a montanha mais alta da Austrália?;172368675;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;211843289;195442762;237602317;192590278;202362460;211411044;205114053;211073200;188555203;210481853;210138901;209650555;255535188;213818947;195652047;182825482;241778192;221266403;206690828;242721245
Frank Herbert ainda vive?;63330519;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;80521526;68304188;80741721;82564887;75401544;68808345;80996564;92420542;74102668;77984248;88564772;79422920;77120725;78257836;78489913;75840315;85029245;77068198;72385069;70275112
Quem criou Family Guy?;148933096;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;176003589;155018853;151972474;164542698;156223648;149049867;156575376;159164919;169047733;154293024;155899213;157805172;158173652;161935840;175660405;159018354;152983411;167337555;163058433;177982245
Qual a língua oficial do Suriname?;261956285;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;266949172;282186331;251107908;313269128;250491870;275330273;268427150;264863511;268541374;247056945;260661557;255996226;318216379;271524453;249153202;278548333;310810062;260899505;278710595;270301501
Quem escreveu a canção Hotel California?;133823779;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;153249665;153984684;153331819;155651170;163034190;146832395;154628009;154714644;141132021;159923418;147873334;158119356;156836597;148345718;148958475;146987678;158649896;168327182;158049937;146648620
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;48912322983;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;341480467;300441113;339025546;362928342;373546517;338422987;346530862;372358769;387927856;409227632;414935627;415122472;438564561;417757295;438073419;440062122;499820097;521590450;618663142;600534316
Quais são os ingredientes do biscoito de chocolate?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os skatistas profissionais da Suécia.;61308392;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;72314361;72248419;77667972;70437395;76115904;73647922;77793977;85737042;68677302;66052646;72549733;72325278;83051604;68676910;76968109;85156734;81849668;77254381;82187584;75184178
Que ingredientes eu preciso para um bolo de cenoura?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Neymar joga no Real Madrid?;449732599;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;84715553;84212300;100374979;86637855;119046261;125461630;160086920;145055734;180623948;172227125;262811354;258456197;293463405;274963906;373659116;377760307;403616702;405407996;385226763;434095584
Que cientista da computação ganhou um Oscar?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;228408250;242762857;254989312;253823034;261484676;253287533;259761377;263540772;301339120;280650222;281295078;284957295;314296304;311332993;305664565;298374617;337522581;343650748;377156081;371017303
Quantas empresas foram fundadas no mesmo ano que o Google?;39157563601;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;294132933;316495934;344861695;312940320;325755399;312101876;359389486;334185611;338711885;340489111;374452125;379456360;432928956;471572234;565211492;533043944;528785040;616978589;715191828;682028354
Em que cidade da Inglaterra está a sede do MI6?;42668990977;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;337902562;296010883;331674315;313430037;306279451;322974057;317589818;305928054;321760699;322633231;341656788;389835417;358615503;369330151;422584060;412733973;517015010;474680472;586634592;581598295
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;999432362;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;167986295;174303900;194373507;172829910;189484322;199125455;168526056;187113988;217541039;172398111;215796055;179895482;214588840;197142380;225513864;242298245;281136204;271668367;297401885;318492718
Qual o significado de IYCM?;140873659;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;156449631;149572010;163032724;161887728;149117762;139397702;153505907;150874636;149917070;142372320;154490587;145643293;157927008;139922030;150667587;175714469;160636557;148077791;155227402;156996276
Quando a Dinastia Ming acabou?;83204473;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;84328188;82316118;82693526;85852074;77284037;87169473;87304844;86713706;90911718;92884806;94173456;104443498;94715180;94486242;90059421;88463226;86538621;79259791;99520178;90829098
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;7126541284;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;295679613;281665578;299882712;245611779;288559475;261508449;322477290;309854651;287864120;341605201;326605023;326407401;359490806;410706926;456916536;491255437;544941574;514450712;564025557;513135394
Qual é a população total de Melbourne, Florida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Arnold Schwarzenegger frequentou uma universidade?;8817345142;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;181737355;191378564;199606691;210348405;230184636;215842588;240871321;219220813;256620506;257903303;313815248;319571948;391956044;364358253;402438842;398355192;500346148;488351611;542966177;510689804
Em que país está o Monte Everest?;217450656;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;211671834;231517523;229665214;253562098;236798318;223315262;250755771;222581484;235427272;233170493;224031249;240351638;232992396;241381692;237200577;210678507;253680907;220800346;231321461;248307623
Qual é a maior cidade da Austrália?;40989160889;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;455565367;362066947;407161554;435067478;379371122;377613887;399971074;495553907;413649184;427709381;537944534;513709713;409145779;480643725;497817392;482921131;643042389;477801148;618999367;584000386
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;9432651478;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;409281677;447465404;360905232;344196206;396077551;394813558;383038475;450803857;353955548;368117681;396400605;406258583;494798100;467912598;516082114;483901538;692424031;619345448;795200618;667569471
Quem é o prefeito de Tel Aviv?;190983015;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;202209849;216619090;203885822;192538748;204451149;192494450;202470166;202511335;198493958;191069364;200993354;183915729;200246453;207345572;214866559;195365849;197936896;206674899;206295070;203641144
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;7279863577;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;259415960;269956323;258659745;278493086;311293630;286704618;326369040;326265565;320557495;361708885;370499875;373370095;407041176;355370921;472952338;504037745;524293801;570236571;559540190;564616012
Quem criou Batman?;173707871;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;202744696;200561034;219157016;209107136;189779047;189332307;183531873;185148425;209387028;196538844;183802686;198299411;194433171;202518825;209764626;233722286;193258979;203988297;193354778;198872478
Quem interpretou Gus Fring em Breaking Bad?;346664677;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;108541423;115550916;128477515;129362431;137732843;143740329;166452948;166225201;175911905;188516564;276277787;269348013;294609628;300053689;325361241;319105742;332197112;343896128;346054752;348281248
Em que linguagem de programação foi escrito o GIMP?;1411841889;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;179288518;187467164;198648056;193752457;195408482;222615359;212861833;212495313;238476190;228175231;254046728;251718244;264034616;241701112;279613238;283047918;287229443;324272637;325521449;351960352
Em que império antigo você poderia pagar com grãos de cacau?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o editor da Forbes?;208087540;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;200278993;242716743;252060027;199946288;209623544;203923453;214078590;199296784;237630327;218394979;215050019;208043669;197650325;201211727;203601404;210954445;210139271;205907410;226885493;215547942
Quantos habitantes tem a capital da Austrália?;16562714487;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;221762307;244181408;243781734;226413839;253954576;248867822;242098693;261039219;272876409;240251003;258678785;275300614;315297781;275467449;316081856;343753794;431529042;409172048;448781749;486762426
Quais surfistas profissionais nasceram na Austrália?;2020231417;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;174260392;154469450;176543601;161724041;179140082;175706624;191701207;188092001;256438233;215074477;213410722;253098509;239733799;219928320;305099872;294908347;397403819;413553874;492432490;480342502
Que companhias de eletrônica foram fundadas em Beijing?;32011246031;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;246880258;280724288;264896154;302041171;317902451;315766881;329788867;341900838;348642857;334302577;420707931;422159332;484669305;499940256;577341464;556660201;564483280;674647600;773329121;800764022
Mostre todos os jogos da Mean Hamster Software.;223293335;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;239159347;241177070;237347638;253584722;242762739;250962757;243988831;219818885;230623554;234873878;235926619;241105566;248722332;244088074;247550651;229068854;239601839;234673113;235325259;260991096
Quantas lojas Aldi existem?;75415910;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;76097135;72500925;66697029;78102197;93638924;73989922;79118615;78099481;72856881;77213625;70925390;70738482;95004404;74792527;72603653;84268762;81982358;84543545;76805796;81067542
Qual a capital de Camarões?;199653678;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;213957491;224264091;195085173;205243282;237732143;215439692;224501313;229482734;210216017;219962303;196319363;220339986;207423393;205829566;219334025;219777599;208947178;189355605;227382209;224170208
Há algum jogo eletrônico chamado Battle Chess?;277690360;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;269720704;320538392;356128208;304908763;278810880;284332442;280817366;279605250;323203718;289582533;354592452;274153782;309500519;276305221;282647570;285124977;322229318;298817872;312763361;286632695
A esposa do Presidente Lincoln chamava-se Mary?;14353961187;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;302831004;333773624;346996975;311634803;345992606;374194546;363910122;336805954;361773224;354695647;381870222;363683540;365668249;374050501;397901496;380271348;403442861;411190982;400333419;403791466
Encontre todos os filmes dirigidos por Francis Ford Coppola.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;257492388;344989742;324812421;324233464;343891539;330814307;359060116;322905046;360130340;352565765;363375258;360696086;445457816;414675576;581619300;553040078;576767899;536981903;603507266;572281060
Qual filme de Tim Burton teve o maior orçamento?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;280908735;274707953;294177713;337157945;330798062;339455932;350492277;354377859;349357577;326330848;415627266;404713474;340796603;405791479;399940243;410391011;461252549;430834369;497026202;489701856
Breaking Bad tem mais episódios do que Game of Thrones?;519984678;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;97631523;110088561;109603280;120124603;106427084;112414541;119427754;122954109;142656514;159022005;186271542;194722602;256362908;236219129;346377804;340501679;362879909;369225053;384869805;395871027
Quem era chamado de Rodzilla?;139608359;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;156877731;157997503;162405765;165785855;148429282;165384366;152589973;161032517;144967273;151193015;161439532;164827248;144962649;154145170;162703579;165225089;153400255;152352486;165667274;177103689
Natalie Portman nasceu nos Estados Unidos?;10871016138;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;218841512;212044529;210180768;227805526;217620832;226519084;249516424;248432029;262487135;288264974;269607035;282783636;286882760;306723824;393349959;370673101;455354415;450884162;575357268;606603235
Mostre os netos de Elvis Presley.;149179963;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;145483381;151717063;163614715;139224248;143202920;169421638;163862066;162773445;162868281;144194503;164026157;141639772;162405035;172488882;143007993;155548362;145223653;141989926;162555938;154405157
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;284519828;301168483;307117759;291751638;307090195;302935315;302763731;341435411;296959529;308886550;362668278;351122126;393546161;427441718;494961658;500766231;514773013;511428149;555215032;557349338
Quando morreu o criador de Drácula?;3892337002;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;242591890;243265969;243859671;247491540;256293877;256642965;272651612;250442002;292371875;313527805;323833095;351873278;349423525;313309213;343318694;342574325;367284847;358654150;396399065;371850655
De que país vem o criador de Miffy?;12408387387;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;267071783;243129725;266974450;236409355;259308609;250858708;260512488;260884950;263471763;266358241;267565870;286303443;280327350;297517533;322793838;320005785;322372756;326879725;344645279;358083447
Qual é o nome verdadeiro do Batman?;17463271693;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;410140209;357476568;355417251;392696888;376289723;429894700;397027475;398837282;425500196;430628244;486884131;504520471;466590701;502466511;527306083;532310815;569000200;521038110;589956513;568879735
Que forma de governo a Rússia possui?;10334062735;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;235381809;214662951;240075963;264291245;277432863;251093223;232106233;245184995;262330012;252993968;266617033;289459117;293873352;300220907;361853978;311278330;407759698;375402703;421099674;428299089
Quantas companhias foram fundadas pelo fundador do Facebook?;29099601036;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;283177488;270518858;282320560;273905907;287979029;268324943;316593440;305845768;316823252;340083075;402208155;399807414;409800900;451823698;433758066;419318876;449198510;504700155;429849630;502161456
Liste todas as gravadoras canadenses de música Grunge.;239424329;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;280490940;285007171;277270003;290379018;282127635;248272660;290938123;298978956;317266162;287323430;294682631;270167789;262902676;286654055;285123987;273515480;269884657;279596261;281610509;293386994
Quantos filhos Benjamim Franklin teve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste os filhos de Margaret Thatcher.;181121339;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;200412210;193550090;196382223;214543646;193286320;224816568;198105701;201298547;195308906;213736101;213159266;209442514;204980231;232325799;203467970;206139384;216073124;204889300;214356218;198950965
