;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual o significado de IYCM?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quando a Dinastia Ming acabou?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0
Qual é a população total de Melbourne, Florida?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arnold Schwarzenegger frequentou uma universidade?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Em que país está o Monte Everest?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual é a maior cidade da Austrália?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem é o prefeito de Tel Aviv?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0
Quem criou Batman?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Quem interpretou Gus Fring em Breaking Bad?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Em que linguagem de programação foi escrito o GIMP?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Em que império antigo você poderia pagar com grãos de cacau?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem é o editor da Forbes?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quantos habitantes tem a capital da Austrália?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quais surfistas profissionais nasceram na Austrália?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Que companhias de eletrônica foram fundadas em Beijing?;4;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Mostre todos os jogos da Mean Hamster Software.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quantas lojas Aldi existem?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual a capital de Camarões?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Há algum jogo eletrônico chamado Battle Chess?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A esposa do Presidente Lincoln chamava-se Mary?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Encontre todos os filmes dirigidos por Francis Ford Coppola.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual filme de Tim Burton teve o maior orçamento?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Breaking Bad tem mais episódios do que Game of Thrones?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;4;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0
Quem era chamado de Rodzilla?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natalie Portman nasceu nos Estados Unidos?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Mostre os netos de Elvis Presley.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0
Quando morreu o criador de Drácula?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
De que país vem o criador de Miffy?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual é o nome verdadeiro do Batman?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Que forma de governo a Rússia possui?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quantas companhias foram fundadas pelo fundador do Facebook?;20;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
Liste todas as gravadoras canadenses de música Grunge.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quantos filhos Benjamim Franklin teve?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liste os filhos de Margaret Thatcher.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De que região é o Melon de Bourgogne?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual é o filho mais velho de Meryl Streep?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
As rãs arborícolas são um tipo de anfíbio?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Christian Bale atua em Velvet Goldmine?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Liste todos os jogos da GMT.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O Isar desemboca em um lago?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2
Que aeroportos a Yeti Airlines serve?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Que empresa indiana tem o maior número de empregados?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Que cor expressa a lealdade?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual a cidade com maior população?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem criou a Wikipedia?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rita Wilson é a esposa de Tom Hanks?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
A esposa do presidente Obama chama-se Michelle?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Quantos grupos étnicos vivem na Eslovênia?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem é o presidente da Eritrea?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Que filmes Stanley Kubrick dirigiu?;13;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
Quando o Titanic foi completado?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quantas páginas tem Guerra e Paz?;4;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Quem é o jogador mais jovem da Premier League?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual a montanha mais alta da Itália?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual a altura de Claudia Schiffer?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quem foi o vice presidente de John F. Kennedy?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Que subsidiária da Lufthansa atende Dortmund e Berlin?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem foi o sucessor de John F. Kennedy?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem compôs a trilha sonora do Titanic de Cameron?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quais filmes Kurosawa dirigiu?;4;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Para qual gravadora Elvis gravou seu primeiro álbum?;8;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Em que fuso horário está Roma?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual a moeda da China?;1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Quem são os desenvolvedores do DBPedia?;3;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
O local onde Abraham Lincoln morreu tem um website?;6;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Quem é o rei da Holanda?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Em que cidade Nikos Kazantzakis morreu?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quem foi o pai da Rainha Elizabeth II?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liste todas as aves que correm perigo de extinção.;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Quantos habitantes tem a maior cidade do Canadá?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
De quais conflitos militares Lawrence da Arábia participou?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qual o livro com maior número de páginas?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Em que país nasce o Nilo?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Quem é o piloto de Fórmula 1 com mais corridas?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0
Que companhias produzem aerodeslizadores?;0;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elvis Presley teve filhos?;2;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
