;base;base;base;base;base;base;base;base;base;base;base;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
Quem pintou Tormenta no Mar da Galileia?;968141335;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;862638041;836066427;881196162;846873781;925166958;921931453;845280298;895102420;1037989133;1067231139;2061742755;2159144705;862098907;862499896;1346894072;1365776017;7855525077;7864950453;895562690;920219500;1908716350;1892349081;41210071036;40007505739;910131833;935101200;2184031466;2556072017;133564163836;132898617259;965772118;988582052;3708219803;2832612394;126260959780;133393434342;963725908;979619853;3729024919;3754381358;133344155942;130316713313;974854548;933105865;3763928514;3713738915;132421462137;133330507416;998124019;1007442873;2960734677;3748017259;132765842642;134505065433;976092102;962871781;3752471442;2906549025;133328527945;133504950883;981374761;966709791;2926219932;3748759950;133501782402;133583235204
Em quais cidades o rio Weser passa?;38971956681;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1482101631;1485149538;1518071909;1486112862;1578373120;1578169895;1508362999;1453222893;1612729492;1627087027;2668848121;2694082279;1466477317;1501791137;1909308744;1955917398;8956129307;9129808860;1507254983;1511801184;2419053272;2432788752;40338953165;41376191254;1553396991;1478341129;3162272201;2843965941;133484298496;135437809855;1529875276;1501550898;5765257543;4284925722;144213869348;133023394209;1566036840;1529719183;10856438265;5333467396;130465272523;134834665848;1527456558;1564396059;40498136493;10595236503;210331824703;153574963539;1647641424;1585436206;142999663484;16449384963;134501483188;394185289056;1578593246;1559864132;145826953204;33466013297;143837016985;154842155382;1610362222;1699887760;133919842353;92733786386;131151372997;549316059927
Quantas cadeiras tem o estádio do Futebol Clube do Porto;18282670315;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1230846157;1216646697;1251419755;1235872073;1337170366;1304262178;1232620448;1212637869;1446242748;1449271044;2542946329;2458726715;1251048876;1280252835;1845726310;1747195668;9569959310;8945575173;1339919831;1269719569;2310642304;2145187594;40863672620;40991324223;1314588857;1329785808;2987362139;2908483361;135803293573;131959873020;1339398919;1342366717;5764390783;5640698593;134944363167;134533688828;1426005921;1418398791;10132810302;10564685611;145405069850;146012032851;1482687415;1511840717;38875660128;36685455038;307016542791;-1;1733256393;1700819278;150183947832;136961117852;140978312041;126701058878;1768748368;1838068925;129600977223;133854707143;144250184483;135383676223;1856487807;1884734143;141815865394;141375910256;141747062971;126165066179
Com quem a filha de Robert Kennedy casou-se?;5221139512;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2720756637;2597154839;2850247610;2685906893;2784753281;2683615671;2755027794;2753366864;2816727814;2814214391;4038470338;3880340600;2745937306;2662260825;3204812446;2870145242;10941559626;6058508998;2746762869;2705868182;3915811779;3063173022;43555578833;13301781933;2763970765;2796770725;4159179803;3483902206;138103710625;41109934746;2729608908;2735013203;6625565959;4092633347;135888278258;133175736478;2750850022;2773107951;11660144733;5226683745;147990360757;145311427756;2829879978;2764544027;39911758294;10725273109;340801791306;190866007339;2806947809;2847630939;142648039362;19654168780;137751678552;218611186267;2772576860;2860261111;143493942454;39533759765;146480100238;160853963419;2986284918;2921016980;136690198944;176513386875;142213102451;138445354032
Que livros de Kerouac foram publicados pela Viking Press?;28937125083;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1376834259;1441818784;1421951679;1373620535;1471979508;1523176881;1396110604;1442431243;1562736949;1534271556;2727522436;2305081928;1417092650;1390625870;1872177998;1624272559;10744882177;6797993108;1397136763;1387962007;2269298314;1910205139;68403576353;36115607270;1415618078;1409514170;3124152025;2469553251;149778559530;150523652970;1479652022;1450843143;6170069139;3248182007;135878312674;134845234821;1499089712;1508976633;11017849022;5343374362;133744330148;135173170295;1478851372;1544329382;41898549506;8526690188;134689097686;176783035737;1557837515;1601007871;134991601515;19158727799;148744034871;173922672322;1823780399;1734224932;140612713729;35991610302;157521782840;169314595118;2035301480;2054864775;131939138665;141158224778;149596294877;141062657323
Qual a altura de Amazon Eve?;2470911820;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2329089250;2310821799;2349258379;2358840599;2485071305;2433355859;2383525563;2454720091;2496999884;2593878583;3510265566;3504290769;2368979842;2401681881;2946933622;2603213435;8410139307;8525780814;2420472210;2420373300;3327520626;2795668195;40623020530;38688258513;2383560813;2400526410;3906296837;3056830056;135910718949;142533682525;2339433635;2538344004;6346538725;3156722035;134908636512;135451328878;2440966507;2396384064;11740064748;3495976400;132941921191;142886054244;2460258530;2440929761;37212584168;5490644471;153114800954;170814489873;2380838188;2446879504;149644396545;21580663614;149302483191;165122919052;2520958475;2540011011;141705260578;46882250808;142788411678;198649550551;2518230573;2627986893;149207053821;147972729939;149699222519;147920831750
Em que museu está exposto O Grito de Munch?;4208646214;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1546450693;1554363266;1514863099;1525950172;1645265880;1628531035;1517749583;1517600338;1718516037;1681247435;2978773963;2886228890;1538187194;1620074381;2079124139;2122130751;10148902126;9885054045;1560155112;1642940735;2666656515;2535572360;41582632567;41775387790;1610233093;1646041138;3291097043;3475451819;143222267059;149692273506;1650611777;1665200791;6081210102;5955328237;136229225106;135813347707;1633764866;1640812592;12135233684;8176028794;129435173590;133694918386;1665396758;1712197370;39688057505;15663363268;208423019944;205551556527;1755878739;1705507113;143777625838;34960850291;144305430716;164268968601;1710364246;1743508944;150742710129;46445985439;151170266092;141128643618;1825425334;1748792636;148658743380;138128149037;141081296577;140950712379
Quem escreveu o livro Os Pilares da Terra?;1033114503;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1042959570;1062599062;1089637165;1062464952;1149038240;1182162953;1083892436;1067528529;1262052256;1242722448;2471864875;2464921621;1095278680;1069427542;1569480722;1563929480;8632301222;8680383972;1121749170;1102603608;2042756085;2105207383;39090144339;39251600275;1134912257;1105895787;2645690923;2454402466;135282942983;41978555700;1111430143;1109862544;5745460843;3812599112;134889414618;133014936880;1088330478;1119431299;10671111859;5231700782;133014923917;134527690026;1120342254;1146721057;37880869172;9613407715;480573011983;197102274693;1190365869;1208185765;134627551853;15781891278;163100883234;174448675830;1207168668;1199854805;142722476336;30547947324;150528431315;206353059271;1232211604;1349934635;147821239821;88982280574;137569391161;148931013372
James Bond é casado?;917085382;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;960867635;947047665;935620778;988412653;1019383265;1020522009;940072170;964969168;1152590375;1125992665;2028020269;1996306980;958673716;994176485;1426894062;1447981275;7922512209;8038577546;1013300702;1003191402;1909597832;1846299169;38085943467;38380807592;1038146294;1011506550;2364295664;2428883332;130912268104;133605361606;1011698455;1029551662;5146291011;3809124573;133396109712;133250216772;1061080842;1078475275;9291351763;5308897112;132730758423;133899210107;1129152738;1150967782;34323999338;9350539865;159536978493;169854342211;1124091373;1158990414;141569003625;15694833401;133860433876;298467135268;1132022059;1137308921;147521828139;29525111328;147659014369;146476657259;1231688242;1213336021;138962481237;61694275374;147875863317;151429531396
Quem descobriu Ceres?;1016368218;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1059087923;1058971688;1078425527;1107009835;1172850758;1118303030;1089498964;1078791312;1253645684;1209979589;2360992376;2056741312;1098087814;1058093669;1551701118;1345354793;9113547453;7787238304;1072878317;1086215651;2079947190;1973855942;43388137743;37095783920;1135612476;1092701826;2615336449;2079176877;142870136749;141960903188;1089248996;1113153552;5523364229;2966656880;134282101326;142406050123;1104297743;1106323514;11411753965;5917388714;144668894484;132825753502;1120096700;1126718756;37954708773;10413206718;146075099283;178525316733;1125042116;1145280826;149314275660;20232467731;140131045532;147194339304;1170122383;1148152300;141029570477;37150485646;148761906794;260129862139;1151147573;1166245093;141044303703;147677086913;147287061668;153750641450
Que rio a Ponte do Brooklyn cruza?;12876859398;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1195650419;1230905381;1195630301;1242613799;1294253007;1296567981;1194966264;1242666715;1420505744;1408378099;2546329247;2599085454;1229716686;1204211958;1692142148;1737001071;8677696275;8602604633;1275947340;1263467533;2184035482;2269122045;41983508324;58945017063;1306041697;1281941510;2762728989;2772781455;129490661605;130320239550;1227889037;1294125839;5831347415;4809818115;144368861590;133864767210;1317427697;1291466533;10734571791;7114956537;144759644569;133429794866;1388433556;1399503609;40732858936;13603161565;186030288974;165735552103;1505335483;1500993367;143393550832;30692797289;142805877378;235382842584;1508139239;1481713497;151337532807;43959839121;142667738672;127311586835;1912803892;1849429215;142279879719;155840767949;130959716220;132616504989
Quem foi chamado de Frank The Tank?;1026513725;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1096992461;1079879023;1100129333;1065823687;1121965362;1093269554;1082607279;1068359649;1212091726;1120785062;2399916252;2396294180;1099660262;1040762246;1623875814;1362779304;8515904725;8107158492;1113068567;1097923636;2140352664;1884559088;42483030451;39914912022;1126650519;1117322843;2825838559;2252792422;140933079485;131495788223;1114985804;1126654775;5385226020;3552924126;133764046660;133206159993;1110996459;1087398922;10006958718;5269710990;143655899719;133512026203;1146713725;1124316639;39884816377;9059990936;168199277391;171464305509;1110846888;1106625702;162322480776;14899422406;126111762473;143581740789;1158443953;1210165783;156318637691;31766663315;134098503676;154930065971;1169729571;1151692363;161164724110;147163300466;140601542416;153233488935
Qual é o maior país do mundo;21558871497;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;4652692279;4602322302;4067805250;4634565126;4616476222;4703253229;4645316554;4477727644;4677100905;4593530097;5437070404;5648905496;4566012862;4633987399;4587153043;4667095000;14281616037;8051831833;4719406961;4629699024;5642780839;4221500699;82497280118;18329089150;4650298866;4496573662;5986883884;4921060893;133137082161;43589332870;4632079663;4490512481;9561083085;4374531998;137079357916;128760594802;4534408097;4735328686;14934344029;5272511178;131523627591;149213121219;4577554160;3935030731;48542436566;5790268418;148130794551;-1;4655310640;4612326184;162194967514;6533537879;158863801352;-1;4599299921;4749920214;169879245278;7771780226;152810342108;361019343405;4805803882;4860816348;147764693879;18412202855;137702835183;162501960201
Quem é o prefeito de Paris?;16832775752;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;16574731204;17330732081;16910738069;17242717398;17599742927;16964937733;16754694089;16757060245;17059195407;17089478389;17699189164;17994476207;17166262395;16838424749;17641670897;17231989392;23665595823;23590766452;16400014139;16885862212;17725274997;17583526450;55228278255;75621388893;16538437501;16634037687;18135094960;17861440037;137103981988;131939172817;16728792450;16932293171;21088357397;20447428220;132938365777;130282751681;16916925855;16476435660;25282057087;25193680247;135530960483;129885749901;17323650752;16906848638;65844586902;54725244757;177531394781;144187145604;16788056190;16883349713;136696700804;141834641555;143185737279;128115694164;17355557303;17407169521;128532325457;143732140844;134309550248;129027678858;17845765174;17519229289;135512239351;133144368400;134342630892;132138731262
Quem é o treinador da equipe de hockey no gelo de Ankara?;19765998610;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2176029492;2079604830;2308346645;2116098400;2263596031;2160160234;2164460097;2156844409;2407908366;2335351891;3358073489;3452263988;2447754645;2115822596;2724646285;2811742014;9348856168;8998887544;2182342749;2323426954;3226403516;3133348246;39892613146;40756869921;2172299191;2327388376;3792589344;3664783801;132803702549;142147514255;2395186810;2289126900;6140989761;5900921501;142638910069;142419173035;2269914150;2362075136;10373267309;10592058827;144138652231;144889807158;2423298693;2398219863;36718534586;29736084919;155669013123;157248787849;2449533805;2380835195;138188798427;46508426493;137205823345;142321876801;2425416505;2368056027;156844764131;131511273069;144688024534;130560613637;2601895162;2547975565;143201596447;149175647224;143736942613;155843220941
Quem é o prefeito da capital da Polinésia Francessa?;15799095130;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3022092556;2980799934;2959168929;3014301876;3008278057;3037096502;2979450257;2883767701;3164749175;3026773495;4278162079;4084534929;2982525964;2979172034;3948629391;3321784283;10623815954;9204843946;3057207350;2963904002;3990815825;3811515159;44068822861;34047457445;3150119028;2981362579;4694964063;4242624857;136295143194;141721709604;3049883147;3053368233;7017201342;5382974380;130542344051;130268904856;3423980516;3458517944;12867323035;9155103759;135518203714;136598560813;3059112026;3076723540;40141650541;16992734154;181660341759;147270595156;3113594098;3068451107;143127216175;36783435445;137642428710;159694887998;3138263334;3032622923;156310303479;47223042004;151022088201;238741779711;3136184804;3167751759;137241318186;150385180892;135446386744;145949202640
Que prêmios Douglas Hofstadter ganhou?;825732732;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;826409609;811186745;811860809;841045112;947939480;929803897;835027865;843184745;1002753306;1023431871;2052725029;2006085110;873254164;853133911;1173521640;1126649199;4149737618;4263629309;858288391;840550046;1194139143;1147702823;4343888821;4367882668;872764175;820337836;1181696785;1146162906;4381579554;4327063581;859961927;860733208;1188418559;1137810180;3997348044;4088174888;839021601;854523794;1197045016;1113913686;4022051675;4108646398;813527394;843320431;1182461862;1143305513;4156123608;4319695686;861213750;849388210;1142381417;1134557394;4353717127;7382612732;860738065;849394278;1183617466;1137725027;4297588596;4258018123;818546884;846701256;1172133753;1149930987;4048043468;4337957899
Quanto custou The Lego Movie?;97216407448;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;95167759853;94788803951;95140475569;95022601361;96487320543;95020973892;95408175458;96569501343;96120921590;97909292199;95770154428;99194709929;94763804802;97284135229;97418018207;56184734998;103539675545;103583615769;95833749760;94999659483;98307391456;97895600325;131274952715;135532101148;97187436283;95359147631;98558231538;98191660535;135373689670;137521233296;95423082984;94698330740;100343001061;99969135077;139642514465;136498879917;95857500735;95336832239;103273933535;101187360794;124557290286;140233117139;96000215749;95103087941;129909851697;107153895246;134956151530;141562752706;95309137732;98694250652;136892444098;125520337284;136086268441;121358116672;97085345091;95020578251;135878366520;140060274107;137169160643;143241674159;95456392624;96796875739;134561880165;137424014360;134415041108;134740669234
Onde começa a Piccadilly?;978520521;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1022445422;1005771091;1022443635;1040340750;1115584368;1083339118;1003671442;1015721546;1230030999;1137411878;2193044380;2202805789;1012112698;963656640;1499941487;1272556395;8101118143;6537635785;1014057155;1006387180;2166356201;1446015443;39746137902;21477136723;1017804762;1028816153;2968483658;1697377628;134813753556;141466411559;1043280711;1017508649;5547911021;2006799177;143583461346;142535719868;1047023322;1032836344;10366866105;2415607987;133775969949;144987913642;994244103;1022020513;14059251529;4053366845;130306070672;131506072333;1038298312;1045320546;13118482921;5041364683;130282091151;130951719037;1064111256;1036482035;13536738043;5096428843;130272068078;131139400771;1041328256;1042034147;13675756386;5130059067;130261239870;132844698337
O Príncipe Harry e o Príncipe William têm os mesmos pais?;13681049186;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3384332049;3448992851;3415351886;3415403098;3550496301;3482496983;3423688142;3445337660;3612349260;3428438391;4982432818;4259490789;3462805087;3371997313;3871334374;3554710248;12519794914;7265804657;3420447890;3437024536;4430960771;4209431854;72151744973;16497264180;3427789680;3424669874;5068605755;4637276309;137422155593;45421928761;3434033360;3467097241;8456384404;7040293758;130851732266;131993732360;3482192807;3469617259;13636661328;11086376559;133775332173;128594094057;3583888218;3594279486;42702184598;52257645909;235832856470;148434866824;3732834774;3688833317;134437825664;124687059285;138019196696;122136697816;3684895929;3675660912;138074351103;134217968314;140184910605;146569561957;3720501958;3857975191;134365979906;155829482430;130687917338;145528595743
Quem interpretou o Agente Smith em Matrix?;2167810119;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1861121540;1851915047;1907931123;1895498965;1980224285;1951824751;1906016473;1827926759;2107201929;1989592014;3230968482;2817535428;1846536281;1891613171;2416554597;2377125586;9628118889;6078576160;1845838981;1897540185;2852128832;2896606236;63511909309;34480302275;1873327209;1956294721;3623510215;3293894119;142729698680;135423066920;1979092429;1953089242;6558724246;6327358176;135840185961;135389694160;1995715673;2008055024;10941755922;10117141729;146510599714;146111294573;2035860907;2002459479;39280907059;21839524088;173546590235;591512523247;2013949647;2016417172;144720262580;40210499458;129833876525;139872463850;2072020094;2075970262;139116287779;137484574401;140538746988;151797949826;2050506060;2150537831;141628758649;177740985988;148570112315;155747295660
