;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
Quem desenvolveu o Slack?;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;2619;-1;2619;2619;2619;-1;2619;2619;2619;-1;-1
Quem foi casada com o presidente Chirac?;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;1188;-1;1188;1188;1188;-1;1188;1188;1188;-1;-1
De que morreu Bruce Carver?;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365;365
Quem pintou Tormenta no Mar da Galileia?;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124
Em quais cidades o rio Weser passa?;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;30195;-1;30195;30195;30195;-1;30195;30195;30195;-1;30195
Quantas cadeiras tem o estádio do Futebol Clube do Porto;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;17269;-1;-1;17269;17269;-1;-1;17269;17269;-1;-1
Com quem a filha de Robert Kennedy casou-se?;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;15917;-1;15917;15917;15917;-1;15917;15917;15917;-1;-1
Que livros de Kerouac foram publicados pela Viking Press?;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;29257;-1;29257;29257;29257;-1;29257;29257;29257;-1;-1
Qual a altura de Amazon Eve?;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;20348;-1;20348;20348;20348;-1;20348;20348;20348;-1;-1
Em que museu está exposto O Grito de Munch?;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;11074;-1;11074;11074;11074;-1;11074;11074;11074;-1;-1
Quem escreveu o livro Os Pilares da Terra?;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;10053;-1;10053;10053;10053;-1;10053;10053;10053;-1;10053
James Bond é casado?;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;2543;-1;2543;2543;2543;-1;2543;2543;2543;-1;2543
Quem descobriu Ceres?;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;-1;10000;10000;10000;-1;10000;10000;10000;-1;-1
Que rio a Ponte do Brooklyn cruza?;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;11467;-1;11467;11467;11467;-1;11467;11467;11467;-1;-1
Quem foi chamado de Frank The Tank?;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;-1;9999;9999;9999;-1;9999;9999;9999;-1;-1
Qual é o maior país do mundo;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;38357;-1;38357;38357;38357;-1;38357;38357;38357;-1;38357
Quem é o prefeito de Paris?;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;30781;-1;-1;30781;30781;-1;-1;30781;30781;-1;-1
Quem é o treinador da equipe de hockey no gelo de Ankara?;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;21963;-1;21963;21963;21963;-1;-1;21963;21963;-1;-1
Quem é o prefeito da capital da Polinésia Francessa?;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;20205;-1;20205;20205;20205;-1;20205;20205;20205;-1;-1
Que prêmios Douglas Hofstadter ganhou?;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
Quanto custou The Lego Movie?;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;10919;-1;10919;10919;10919;-1;-1;10919;10919;-1;-1
Onde começa a Piccadilly?;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225;225
O Príncipe Harry e o Príncipe William têm os mesmos pais?;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;30847;-1;-1;30847;30847;-1;-1;30847;30847;-1;-1
Quem interpretou o Agente Smith em Matrix?;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;2502;-1;2502;2502;2502;-1;2502;2502;2502;-1;-1
Quantos idiomas são falados no Turquemenistão?;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;29108;-1;29108;29108;29108;-1;29108;29108;29108;-1;-1
Em que filmes Julia Roberts e Richard Gere atuaram?;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;21559;-1;21559;21559;21559;-1;-1;21559;21559;-1;-1
Em que país nasce o Ganges?;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;32058;-1;32058;32058;32058;-1;32058;32058;32058;-1;-1
Em que ano nasceu Rachel Stevens?;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;24255;-1;24255;24255;24255;-1;24255;24255;24255;-1;-1
Barack Obama é um Democrata?;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;6366;-1;6366;6366;6366;-1;-1;6366;6366;-1;-1
Onde nasceu Bach?;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;3861;-1;3861;3861;3861;-1;-1;3861;3861;-1;-1
Quantas vezes Jane Fonda se casou?;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;1251;-1;1251;1251;1251;-1;1251;1251;1251;-1;-1
Quem foi o primeiro a escalar o Monte Everest?;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121;121
Quantas pessoas vivem na Polônia;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;19746;-1;19746;19746;19746;-1;19746;19746;19746;-1;-1
Onde fica o Palácio de Westminster?;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
Christian Bale atua em Batman Begins?;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;493;-1;493;493;493;-1;-1;493;493;-1;-1
Em que país fica o Lago Limerick?;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;28368;-1;28368;28368;28368;-1;28368;28368;28368;-1;-1
Qual foi o último filme de Alec Guinness?;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;31074;-1;-1;31074;31074;-1;-1;31074;31074;-1;-1
Qual a montanha mais alta da Austrália?;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;13886;-1;-1;13886;13886;-1;-1;13886;13886;-1;-1
Frank Herbert ainda vive?;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95;95
Quem criou Family Guy?;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;10339;-1;10339;10339;10339;-1;10339;10339;10339;-1;-1
Qual a língua oficial do Suriname?;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;23216;-1;-1;23216;23216;-1;-1;23216;23216;-1;-1
Quem escreveu a canção Hotel California?;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;10061;-1;10061;10061;10061;-1;10061;10061;10061;-1;10061
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;39614;-1;39614;39614;39614;-1;39614;39614;39614;-1;-1
Quais são os ingredientes do biscoito de chocolate?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os skatistas profissionais da Suécia.;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;472;-1;472;472;472;-1;472;472;472;-1;472
Que ingredientes eu preciso para um bolo de cenoura?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Neymar joga no Real Madrid?;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;975;-1;975;975;975;-1;-1;975;975;-1;-1
Que cientista da computação ganhou um Oscar?;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;20530;-1;20530;20530;20530;-1;20530;20530;20530;-1;-1
Quantas empresas foram fundadas no mesmo ano que o Google?;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;35496;-1;35496;35496;35496;-1;35496;35496;35496;-1;-1
Em que cidade da Inglaterra está a sede do MI6?;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;40930;-1;40930;40930;40930;-1;40930;40930;40930;-1;-1
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;10015;-1;10015;10015;10015;-1;10015;10015;10015;-1;10015
Qual o significado de IYCM?;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;10734;-1;10734;10734;10734;-1;10734;10734;10734;-1;-1
Quando a Dinastia Ming acabou?;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;847;-1;847;847;847;-1;847;847;847;-1;-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;-1;24660;24660;24660;-1;-1;24660;24660;-1;-1
Qual é a população total de Melbourne, Florida?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Arnold Schwarzenegger frequentou uma universidade?;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;12398;-1;12398;12398;12398;-1;-1;12398;12398;-1;-1
Em que país está o Monte Everest?;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;28489;-1;28489;28489;28489;-1;28489;28489;28489;-1;-1
Qual é a maior cidade da Austrália?;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;39755;-1;39755;39755;39755;-1;39755;39755;39755;-1;-1
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;29542;-1;29542;29542;29542;-1;29542;29542;29542;-1;-1
Quem é o prefeito de Tel Aviv?;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;20406;-1;-1;20406;20406;-1;-1;20406;20406;-1;-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;24660;-1;24660;24660;24660;-1;-1;24660;24660;-1;-1
Quem criou Batman?;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;15331;-1;15331;15331;15331;-1;-1;15331;15331;-1;-1
Quem interpretou Gus Fring em Breaking Bad?;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;1020;-1;1020;1020;1020;-1;-1;1020;1020;-1;-1
Em que linguagem de programação foi escrito o GIMP?;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;10558;-1;10558;10558;10558;-1;10558;10558;10558;-1;-1
Em que império antigo você poderia pagar com grãos de cacau?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o editor da Forbes?;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;22505;-1;22505;22505;22505;-1;22505;22505;22505;-1;-1
Quantos habitantes tem a capital da Austrália?;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;23014;-1;-1;23014;23014;-1;-1;23014;23014;-1;-1
Quais surfistas profissionais nasceram na Austrália?;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;7387;-1;7387;7387;7387;-1;-1;7387;7387;-1;-1
Que companhias de eletrônica foram fundadas em Beijing?;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;38416;-1;38416;38416;38416;-1;38416;38416;38416;-1;-1
Mostre todos os jogos da Mean Hamster Software.;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;25027;-1;-1;25027;25027;-1;-1;25027;25027;-1;-1
Quantas lojas Aldi existem?;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91
Qual a capital de Camarões?;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;20129;-1;20129;20129;20129;-1;20129;20129;20129;-1;20129
Há algum jogo eletrônico chamado Battle Chess?;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;25064;-1;25064;25064;25064;-1;25064;25064;25064;-1;25064
A esposa do Presidente Lincoln chamava-se Mary?;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;39185;-1;39185;39185;39185;-1;39185;39185;39185;-1;39185
Encontre todos os filmes dirigidos por Francis Ford Coppola.;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;39059;-1;39059;39059;39059;-1;-1;39059;39059;-1;-1
Qual filme de Tim Burton teve o maior orçamento?;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;24348;-1;24348;24348;24348;-1;24348;24348;24348;-1;-1
Breaking Bad tem mais episódios do que Game of Thrones?;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;-1;-1;2394;2394;-1;-1;2394;2394;-1;-1
Quem era chamado de Rodzilla?;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;-1;9999;9999;9999;-1;9999;9999;9999;-1;-1
Natalie Portman nasceu nos Estados Unidos?;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;19217;-1;19217;19217;19217;-1;19217;19217;19217;-1;-1
Mostre os netos de Elvis Presley.;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;10769;-1;-1;10769;10769;-1;-1;10769;10769;-1;-1
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;31333;-1;31333;31333;31333;-1;31333;31333;31333;-1;-1
Quando morreu o criador de Drácula?;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;21149;-1;21149;21149;21149;-1;21149;21149;21149;-1;-1
