;base;base;base;base;base;base;base;base;base;base;base;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
Quem desenvolveu o Slack?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;750;750;-1;-1;-1;-1
Quem foi casada com o presidente Chirac?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;49;49;49;49;49;49;74;74;74;74;74;74;98;98;98;98;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;-1;-1;-1
De que morreu Bruce Carver?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;365;365;365;365;-1;-1;365;365;365;365;-1;-1;365;365;365;365;-1;-1
Quem pintou Tormenta no Mar da Galileia?;124;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;29;29;29;29;29;29;49;49;49;49;49;49;74;74;74;74;74;74;99;99;99;99;-1;-1;122;122;122;122;-1;-1;122;122;122;122;-1;-1;122;122;122;122;-1;-1;122;122;122;122;-1;-1;122;122;122;122;-1;-1;122;122;122;122;-1;-1
Em quais cidades o rio Weser passa?;30195;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;29;29;29;29;29;29;49;49;49;49;49;49;73;73;73;73;73;73;97;97;97;97;-1;-1;147;147;147;147;-1;-1;197;197;197;197;-1;-1;297;297;297;297;-1;-1;397;397;-1;397;-1;-1;497;497;-1;497;-1;-1;747;747;-1;747;-1;-1
Quantas cadeiras tem o estádio do Futebol Clube do Porto;17269;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;149;149;149;149;-1;-1;199;199;199;199;-1;-1;299;299;299;299;-1;-1;399;399;-1;-1;-1;-1;499;499;-1;-1;-1;-1;749;749;-1;-1;-1;-1
Com quem a filha de Robert Kennedy casou-se?;15917;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;74;74;74;74;74;74;99;99;99;99;-1;99;149;149;149;149;-1;-1;199;199;199;199;-1;-1;299;299;299;299;-1;-1;399;399;-1;399;-1;-1;499;499;-1;499;-1;-1;749;749;-1;-1;-1;-1
Que livros de Kerouac foram publicados pela Viking Press?;29257;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;99;99;99;99;-1;-1;149;149;149;149;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;-1;-1;-1
Qual a altura de Amazon Eve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;29;29;29;29;29;29;49;49;49;49;49;49;74;74;74;74;74;74;99;99;99;99;-1;-1;149;149;149;149;-1;-1;199;199;199;199;-1;-1;299;299;299;299;-1;-1;399;399;-1;399;-1;-1;499;499;-1;499;-1;-1;746;746;-1;-1;-1;-1
Em que museu está exposto O Grito de Munch?;11074;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;-1;-1;-1
Quem escreveu o livro Os Pilares da Terra?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;100;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;750;750;-1;750;-1;-1
James Bond é casado?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;29;29;29;29;29;29;49;49;49;49;49;49;73;73;73;73;73;73;98;98;98;98;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;748;-1;-1
Quem descobriu Ceres?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;750;750;-1;-1;-1;-1
Que rio a Ponte do Brooklyn cruza?;11467;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;49;49;49;49;49;49;74;74;74;74;74;74;99;99;99;99;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;295;295;295;295;-1;-1;395;395;-1;395;-1;-1;495;495;-1;495;-1;-1;745;745;-1;-1;-1;-1
Quem foi chamado de Frank The Tank?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;750;750;-1;-1;-1;-1
Qual é o maior país do mundo;38357;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;100;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;750;750;-1;750;-1;-1
Quem é o prefeito de Paris?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;-1;-1;-1;500;500;-1;-1;-1;-1;750;750;-1;-1;-1;-1
Quem é o treinador da equipe de hockey no gelo de Ankara?;21963;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;-1;-1;-1;746;746;-1;-1;-1;-1
Quem é o prefeito da capital da Polinésia Francessa?;20205;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;-1;-1;-1
Que prêmios Douglas Hofstadter ganhou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;28;28;28;28;28;28;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
Quanto custou The Lego Movie?;10919;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;74;74;74;74;-1;74;99;99;99;99;-1;-1;147;147;147;147;-1;-1;196;196;196;196;-1;-1;286;286;286;286;-1;-1;386;386;-1;386;-1;-1;486;486;-1;-1;-1;-1;736;736;-1;-1;-1;-1
Onde começa a Piccadilly?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;28;28;28;28;28;28;48;48;48;48;48;48;73;73;73;73;73;73;98;98;98;98;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;223;223;223;223;-1;-1;223;223;223;223;-1;-1;223;223;223;223;-1;-1;223;223;223;223;-1;-1
O Príncipe Harry e o Príncipe William têm os mesmos pais?;30847;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;100;149;149;149;149;-1;-1;199;199;199;199;-1;-1;299;299;299;299;-1;-1;399;399;-1;-1;-1;-1;499;499;-1;-1;-1;-1;749;749;-1;-1;-1;-1
Quem interpretou o Agente Smith em Matrix?;2502;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;98;98;98;98;-1;-1;148;148;148;148;-1;-1;197;197;197;197;-1;-1;296;296;296;296;-1;-1;395;395;-1;395;-1;-1;494;494;-1;494;-1;-1;736;736;-1;-1;-1;-1
Quantos idiomas são falados no Turquemenistão?;29108;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;100;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;749;749;-1;-1;-1;-1
Em que filmes Julia Roberts e Richard Gere atuaram?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;296;296;296;296;-1;-1;396;396;-1;396;-1;-1;496;496;-1;-1;-1;-1;746;746;-1;-1;-1;-1
Em que país nasce o Ganges?;32058;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;73;73;73;73;73;73;98;98;98;98;-1;98;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;-1;-1;-1
Em que ano nasceu Rachel Stevens?;24255;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;29;29;29;29;29;29;48;48;48;48;48;48;73;73;73;73;73;73;98;98;98;98;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;495;495;-1;495;-1;-1;745;745;-1;-1;-1;-1
Barack Obama é um Democrata?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;74;74;74;74;74;74;99;99;99;99;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;-1;-1;-1;748;748;-1;-1;-1;-1
Onde nasceu Bach?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;-1;-1;-1;750;750;-1;-1;-1;-1
Quantas vezes Jane Fonda se casou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;74;74;74;74;74;74;99;99;99;99;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;-1;-1;-1
Quem foi o primeiro a escalar o Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;29;29;29;29;29;29;49;49;49;49;49;49;74;74;74;74;74;74;98;98;98;98;-1;-1;119;119;119;119;-1;-1;119;119;119;119;-1;-1;119;119;119;119;-1;-1;119;119;119;119;-1;-1;119;119;119;119;-1;-1;119;119;119;119;-1;-1
Quantas pessoas vivem na Polônia;19746;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;49;49;49;49;49;49;74;74;74;74;74;74;99;99;99;99;-1;-1;149;149;149;149;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;747;747;-1;-1;-1;-1
Onde fica o Palácio de Westminster?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
Christian Bale atua em Batman Begins?;493;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;74;74;74;74;74;74;98;98;98;98;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;296;296;296;296;-1;-1;396;396;-1;396;-1;-1;489;489;-1;-1;-1;-1;489;489;-1;-1;-1;-1
Em que país fica o Lago Limerick?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;750;750;-1;-1;-1;-1
Qual foi o último filme de Alec Guinness?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;49;49;49;49;49;49;74;74;74;74;74;74;98;98;98;98;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;-1;-1;-1;498;498;-1;-1;-1;-1;748;748;-1;-1;-1;-1
Qual a montanha mais alta da Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;-1;-1;-1;500;500;-1;-1;-1;-1;750;750;-1;-1;-1;-1
Frank Herbert ainda vive?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;49;49;49;49;49;49;73;73;73;73;73;73;93;93;93;93;-1;-1;93;93;93;93;-1;-1;93;93;93;93;-1;-1;93;93;93;93;-1;-1;93;93;93;93;-1;-1;93;93;93;93;-1;-1;93;93;93;93;-1;-1
Quem criou Family Guy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;29;29;29;29;29;29;49;49;49;49;49;49;74;74;74;74;74;74;99;99;99;99;-1;-1;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;-1;-1;-1
Qual a língua oficial do Suriname?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;398;398;-1;-1;-1;-1;497;497;-1;-1;-1;-1;738;738;-1;-1;-1;-1
Quem escreveu a canção Hotel California?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;29;29;29;29;29;29;48;48;48;48;48;48;72;72;72;72;72;72;97;97;97;97;-1;97;147;147;147;147;-1;-1;197;197;197;197;-1;-1;297;297;297;297;-1;-1;397;397;-1;397;-1;-1;497;497;-1;497;-1;-1;747;747;-1;747;-1;-1
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;39614;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;49;49;49;49;49;49;74;74;74;74;74;74;98;98;98;98;-1;98;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;-1;-1;-1
Quais são os ingredientes do biscoito de chocolate?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os skatistas profissionais da Suécia.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;100;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;472;472;-1;472;-1;-1;472;472;-1;472;-1;-1
Que ingredientes eu preciso para um bolo de cenoura?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Neymar joga no Real Madrid?;975;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;9;9;9;9;9;29;29;29;29;29;29;49;49;49;49;49;49;74;74;74;74;74;74;99;99;99;99;-1;-1;149;149;149;149;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;-1;-1;-1;748;748;-1;-1;-1;-1
Que cientista da computação ganhou um Oscar?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;27;27;27;27;27;27;47;47;47;47;47;47;70;70;70;70;70;70;94;94;94;94;-1;-1;143;143;143;143;-1;-1;193;193;193;193;-1;-1;292;292;292;292;-1;-1;392;392;-1;392;-1;-1;490;490;-1;490;-1;-1;735;735;-1;-1;-1;-1
Quantas empresas foram fundadas no mesmo ano que o Google?;35496;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;100;150;150;150;150;-1;-1;199;199;199;199;-1;-1;299;299;299;299;-1;-1;399;399;-1;399;-1;-1;499;499;-1;499;-1;-1;726;726;-1;-1;-1;-1
Em que cidade da Inglaterra está a sede do MI6?;40930;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;100;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;748;748;-1;-1;-1;-1
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;10015;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;48;48;48;48;48;48;71;71;71;71;71;71;94;94;94;94;-1;-1;143;143;143;143;-1;-1;186;186;186;186;-1;-1;282;282;282;282;-1;-1;375;375;-1;375;-1;-1;469;469;-1;469;-1;-1;714;714;-1;714;-1;-1
