;base;base;base;base;base;base;base;base;base;base;base;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
Quem desenvolveu o Slack?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;14;16;26;32;53;72;111;135;165;-1;5;14;16;26;-1;-1;-1;-1;-1;-1;-1
Quem foi casada com o presidente Chirac?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;98;148;198;298;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;10;30;49;74;96;121;121;123;123;123;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1
De que morreu Bruce Carver?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;365;365;365;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;12;21;32;48;69;87;130;145;154;184;6;12;21;32;-1;-1;-1;-1;-1;-1;-1
Quem pintou Tormenta no Mar da Galileia?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;99;122;122;122;122;122;122;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;29;49;74;99;114;114;116;116;116;116;10;29;49;74;-1;-1;-1;-1;-1;-1;-1
Em quais cidades o rio Weser passa?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;73;97;147;197;297;-1;-1;-1;10;29;49;73;-1;-1;-1;-1;-1;-1;-1;9;28;48;72;72;77;78;78;78;78;79;9;28;48;72;-1;-1;-1;-1;-1;-1;-1
Quantas cadeiras tem o estádio do Futebol Clube do Porto;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;28;48;73;98;148;198;298;-1;-1;-1;8;28;48;73;-1;-1;-1;-1;-1;-1;-1
Com quem a filha de Robert Kennedy casou-se?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;149;199;299;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;0;4;11;15;25;37;45;72;85;101;-1;0;4;11;15;25;-1;-1;-1;-1;-1;-1
Que livros de Kerouac foram publicados pela Viking Press?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;99;149;198;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;4;18;18;24;37;54;62;64;83;87;-1;4;18;18;24;-1;-1;-1;-1;-1;-1;-1
Qual a altura de Amazon Eve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;99;149;199;299;-1;-1;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;16;16;16;16;16;16;28;97;152;-1;10;16;16;16;-1;-1;-1;-1;-1;-1;-1
Em que museu está exposto O Grito de Munch?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;27;47;72;97;128;128;128;128;132;-1;7;27;47;72;-1;-1;-1;-1;-1;-1;-1
Quem escreveu o livro Os Pilares da Terra?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;49;73;73;74;74;74;74;74;74;10;30;49;73;73;-1;-1;-1;-1;-1;-1
James Bond é casado?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;73;98;148;198;298;-1;-1;-1;10;29;49;73;-1;-1;-1;-1;-1;-1;-1;10;29;49;71;81;83;83;83;83;83;83;10;29;49;71;-1;-1;-1;-1;-1;-1;-1
Quem descobriu Ceres?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;18;26;43;49;59;92;92;97;98;-1;8;18;26;43;-1;-1;-1;-1;-1;-1;-1
Que rio a Ponte do Brooklyn cruza?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;99;148;198;295;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;9;29;48;73;98;116;116;121;121;121;-1;9;29;48;73;-1;-1;-1;-1;-1;-1;-1
Quem foi chamado de Frank The Tank?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;3;9;27;47;57;71;71;75;75;75;-1;3;9;27;47;-1;-1;-1;-1;-1;-1;-1
Qual é o maior país do mundo;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;4;4;4;4;4;4;4;4;4;4;14;4;4;4;4;4;-1;-1;-1;-1;-1;-1
Quem é o prefeito de Paris?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;27;47;72;97;148;198;298;-1;-1;-1;7;27;47;72;-1;-1;-1;-1;-1;-1;-1
Quem é o treinador da equipe de hockey no gelo de Ankara?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;150;200;232;232;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Quem é o prefeito da capital da Polinésia Francessa?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;148;198;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;17;31;44;69;76;123;145;145;145;-1;6;17;31;44;-1;-1;-1;-1;-1;-1;-1
Que prêmios Douglas Hofstadter ganhou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;28;39;39;39;39;39;39;39;39;39;10;28;39;39;39;39;39;39;39;39;39;10;28;33;33;33;33;33;33;33;33;33;10;28;33;33;33;33;33;33;33;33;33
Quanto custou The Lego Movie?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;147;196;286;-1;-1;-1;10;30;50;-1;-1;-1;-1;-1;-1;-1;-1;10;30;50;74;99;147;151;151;151;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1
Onde começa a Piccadilly?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;28;48;73;98;148;198;223;223;223;223;10;28;48;73;-1;-1;-1;-1;-1;-1;-1;10;18;18;18;18;18;18;33;51;51;51;10;18;18;18;-1;-1;-1;-1;-1;-1;-1
O Príncipe Harry e o Príncipe William têm os mesmos pais?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;4;11;12;36;61;95;143;238;-1;-1;-1;4;11;12;36;61;-1;-1;-1;-1;-1;-1
Quem interpretou o Agente Smith em Matrix?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;98;148;197;296;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;24;44;69;91;141;188;193;193;198;-1;6;24;44;69;-1;-1;-1;-1;-1;-1;-1
Quantos idiomas são falados no Turquemenistão?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;16;22;30;45;52;62;92;121;145;-1;7;16;22;30;45;-1;-1;-1;-1;-1;-1
Em que filmes Julia Roberts e Richard Gere atuaram?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;148;198;296;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;18;27;32;53;97;142;204;214;-1;-1;7;18;27;32;-1;-1;-1;-1;-1;-1;-1
Em que país nasce o Ganges?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;73;98;148;198;298;-1;-1;-1;10;30;50;73;-1;-1;-1;-1;-1;-1;-1;10;30;50;73;83;83;83;83;83;83;-1;10;30;50;73;83;-1;-1;-1;-1;-1;-1
Em que ano nasceu Rachel Stevens?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;48;73;98;148;198;298;-1;-1;-1;10;29;48;73;-1;-1;-1;-1;-1;-1;-1;10;29;48;73;98;109;109;109;111;111;-1;10;29;48;73;-1;-1;-1;-1;-1;-1;-1
Barack Obama é um Democrata?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;148;198;298;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;9;29;49;73;95;141;166;212;218;-1;-1;9;29;49;73;-1;-1;-1;-1;-1;-1;-1
Onde nasceu Bach?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;148;198;248;250;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Quantas vezes Jane Fonda se casou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;99;148;198;298;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;10;30;50;74;98;147;185;186;186;186;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1
Quem foi o primeiro a escalar o Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;98;119;119;119;119;119;119;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;29;49;74;98;113;113;113;113;113;113;10;29;49;74;-1;-1;-1;-1;-1;-1;-1
Quantas pessoas vivem na Polônia;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;99;149;198;298;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;5;9;17;17;31;43;64;73;108;115;-1;5;9;17;17;-1;-1;-1;-1;-1;-1;-1
Onde fica o Palácio de Westminster?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;17;17;17;17;17;17;17;17;17;17;10;17;17;17;17;17;17;17;17;17;17;8;10;17;17;17;17;17;17;17;17;17;8;10;17;17;17;17;17;17;17;17;17
Christian Bale atua em Batman Begins?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;74;98;148;198;296;-1;-1;-1;10;30;50;74;-1;-1;-1;-1;-1;-1;-1;5;20;40;65;90;140;190;281;281;-1;-1;5;20;40;65;-1;-1;-1;-1;-1;-1;-1
Em que país fica o Lago Limerick?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;4;18;18;21;35;48;56;145;201;204;-1;4;18;18;21;-1;-1;-1;-1;-1;-1;-1
Qual foi o último filme de Alec Guinness?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;98;148;198;298;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;9;29;47;72;96;104;108;196;-1;-1;-1;9;29;47;72;-1;-1;-1;-1;-1;-1;-1
Qual a montanha mais alta da Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;17;37;62;87;137;187;287;-1;-1;-1;7;17;37;62;-1;-1;-1;-1;-1;-1;-1
Frank Herbert ainda vive?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;73;93;93;93;93;93;93;93;10;30;49;73;-1;-1;-1;-1;-1;-1;-1;10;30;49;71;84;86;86;86;86;86;86;10;30;49;71;-1;-1;-1;-1;-1;-1;-1
Quem criou Family Guy?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;99;148;198;298;-1;-1;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;29;49;74;97;146;146;146;148;148;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1
Qual a língua oficial do Suriname?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;24;31;55;80;130;180;280;-1;-1;-1;8;24;31;55;-1;-1;-1;-1;-1;-1;-1
Quem escreveu a canção Hotel California?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;48;72;97;147;197;297;-1;-1;-1;10;29;48;72;-1;-1;-1;-1;-1;-1;-1;10;29;48;72;79;79;79;79;79;79;79;10;29;48;72;79;-1;-1;-1;-1;-1;-1
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;74;98;148;198;298;-1;-1;-1;10;30;49;74;-1;-1;-1;-1;-1;-1;-1;6;11;12;16;18;25;42;125;129;141;-1;6;11;12;16;18;-1;-1;-1;-1;-1;-1
Quais são os ingredientes do biscoito de chocolate?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os skatistas profissionais da Suécia.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;5;10;15;15;25;33;33;43;60;66;66;5;10;15;15;25;-1;-1;-1;-1;-1;-1
Que ingredientes eu preciso para um bolo de cenoura?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Neymar joga no Real Madrid?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;29;49;74;99;149;198;298;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1;6;26;46;71;96;144;169;258;271;-1;-1;6;26;46;71;-1;-1;-1;-1;-1;-1;-1
Que cientista da computação ganhou um Oscar?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;27;47;70;94;143;193;292;-1;-1;-1;10;27;47;70;-1;-1;-1;-1;-1;-1;-1;8;27;29;31;42;91;102;155;157;158;-1;8;27;29;31;-1;-1;-1;-1;-1;-1;-1
Quantas empresas foram fundadas no mesmo ano que o Google?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;199;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;10;15;17;24;29;58;68;130;130;-1;6;10;15;17;24;-1;-1;-1;-1;-1;-1
Em que cidade da Inglaterra está a sede do MI6?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;28;48;47;50;50;50;51;51;85;-1;8;28;48;47;50;-1;-1;-1;-1;-1;-1
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;48;71;94;143;186;282;-1;-1;-1;10;30;48;71;-1;-1;-1;-1;-1;-1;-1;9;27;27;27;27;27;27;27;27;27;90;9;27;27;27;-1;-1;-1;-1;-1;-1;-1
Qual o significado de IYCM?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;99;149;199;299;-1;-1;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;14;14;14;14;14;33;52;96;187;-1;10;14;14;14;-1;-1;-1;-1;-1;-1;-1
Quando a Dinastia Ming acabou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;73;97;147;196;296;-1;-1;-1;10;30;49;73;-1;-1;-1;-1;-1;-1;-1;10;30;49;73;97;147;165;165;165;165;-1;10;30;49;73;-1;-1;-1;-1;-1;-1;-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;98;148;198;296;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;20;26;39;53;82;100;170;260;-1;-1;7;20;26;39;53;-1;-1;-1;-1;-1;-1
Qual é a população total de Melbourne, Florida?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Arnold Schwarzenegger frequentou uma universidade?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;150;200;233;233;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Em que país está o Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;29;49;74;98;148;198;298;-1;-1;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1;10;29;49;74;98;113;114;114;114;114;-1;10;29;49;74;-1;-1;-1;-1;-1;-1;-1
Qual é a maior cidade da Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;11;11;11;20;23;23;43;82;133;-1;7;11;11;11;20;-1;-1;-1;-1;-1;-1
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;149;197;297;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;29;41;48;48;76;104;104;104;104;-1;9;29;41;48;48;-1;-1;-1;-1;-1;-1
Quem é o prefeito de Tel Aviv?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;73;98;146;196;296;-1;-1;-1;10;30;49;73;-1;-1;-1;-1;-1;-1;-1;9;29;48;72;97;145;195;295;-1;-1;-1;9;29;48;72;-1;-1;-1;-1;-1;-1;-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;98;148;198;296;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;20;26;39;53;82;100;170;260;-1;-1;7;20;26;39;53;-1;-1;-1;-1;-1;-1
Quem criou Batman?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;298;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;8;16;16;16;37;87;137;237;242;-1;-1;8;16;16;16;37;-1;-1;-1;-1;-1;-1
Quem interpretou Gus Fring em Breaking Bad?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;299;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;29;49;74;100;146;156;219;219;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1
Em que linguagem de programação foi escrito o GIMP?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;49;73;97;147;197;297;-1;-1;-1;10;30;49;73;-1;-1;-1;-1;-1;-1;-1;10;30;49;73;92;92;92;92;92;92;-1;10;30;49;73;92;-1;-1;-1;-1;-1;-1
Em que império antigo você poderia pagar com grãos de cacau?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o editor da Forbes?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;197;292;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;10;30;50;75;100;102;102;102;104;104;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1
Quantos habitantes tem a capital da Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;9;29;49;74;99;149;199;299;-1;-1;-1;9;29;49;74;-1;-1;-1;-1;-1;-1;-1
Quais surfistas profissionais nasceram na Austrália?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;7;13;18;18;18;18;37;132;232;-1;-1;7;13;18;18;-1;-1;-1;-1;-1;-1;-1
Que companhias de eletrônica foram fundadas em Beijing?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;30;50;75;100;150;200;300;-1;-1;-1;10;30;50;75;-1;-1;-1;-1;-1;-1;-1;6;21;41;66;91;139;177;177;177;177;-1;6;21;41;66;91;-1;-1;-1;-1;-1;-1
